Varnummer;Namn;Underrubrik;Prisinklmoms;Volymiml;Saljstart;Varugrupp;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;Ekologisk;RavarorBeskrivning;fyllighet;stravhet;fruktsyra;druva;smak;doft
10682;Terre de Mistral Reserve;Côtes du Rhône Organic;245;3000;2014-09-01;Rott vin, Kryddigt & Mustigt;Box;Vingtapp;Rhonedalen, Côtes du Rhône;Frankrike;Les Vignerons d'Estezargues;Enjoy Wine & Spirits AB;2013;2013;14%;FSN;1;Grenache, syrah, carignan och mourvèdre.;8 ;8 ;9 ;Grenache,syrah,carignan,och,mourvèdre;Nyanserad,kryddig,smak,inslag,hallon,plommon,choklad,vitpeppar,lagerblad,lakrits ;Nyanserad,kryddig,doft,inslag,hallon,blåbär,choklad,färska,örter,lakrits
12001;Bouchard & Finlayson Galpin Peak Pinot Noir;;239;750;2013-11-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Western Cape, Cape South Coast, Walker Bay, Hemel-en-Aarde Valley;Sydafrika;Bouchard Finlayson;Handpicked Wines Sweden AB;2011;2011;14%;TSE;0;Pinot noir.;7 ;6 ;9 ;Pinot,noir;Nyanserad,kryddig,smak,rostad,fatkaraktär,inslag,jordgubbar,kaffe,mynta,plommon,ingefära,nougat ;Nyanserad,kryddig,doft,karaktär,rostade,ekfat,inslag,jordgubbar,kaffe,mynta,plommon,ingefära,nougat
12002;Allesverloren;Tinta Barocca;125;750;2002-04-02;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Western Cape, Coastal Region, Swartland;Sydafrika;Allesverloren Wine Estate;janake wine group AB;2012;2012;14%;FS;0;Tinta barocca.;8 ;8 ;9 ;Tinta,barocca;Kryddig,smak,fatkaraktär,inslag,plommon,björnbär,kryddnejlika,choklad,vanilj ;Kryddig,doft,fatkaraktär,inslag,mörka,eukalyptus,tobak,choklad,kaffe
12002;Allesverloren;Tinta Barocca;250;1500;2012-04-02;Rott vin;Magnum;;Western Cape, Coastal Region, Swartland;Sydafrika;Allesverloren Wine Estate;janake wine group AB;2011;2011;14.5%;BS;0;;8 ;8 ;9 ;Tinta,barocca;Kryddig,smak,fatkaraktär,inslag,plommon,björnbär,kryddnejlika,choklad,vanilj ;Kryddig,doft,fatkaraktär,inslag,mörka,eukalyptus,tobak,choklad,kaffe
12019;Kleine Zalze Vineyard Selection;Cabernet Sauvignon Barrel Matured;129;750;2013-09-02;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Western Cape, Coastal Region, Stellenbosch;Sydafrika;Kleine Zalze;Winemarket Nordic AB;2011;2011;14.5%;FS;0;85% cabernet sauvignon, 10% merlot och 5% petit verdot.;10;9 ;9 ;85%,cabernet,sauvignon,10%,merlot,och,petit,verdot;Mycket,fruktig,nyanserad,smak,rostad,fatkaraktär,inslag,svarta,vinbär,plommon,mintchoklad,kaffe ;Fruktig,nyanserad,doft,fatkaraktär,inslag,svarta,vinbär,mintchoklad,plommon,kaffe
12035;Helderberg;Merlot;95;750;2013-09-02;Rott vin;Flaska;Skruvkapsyl;Western Cape, Coastal Region, Stellenbosch;Sydafrika;Helderberg Winery;Prime Wine Sweden AB;2012;NA;14.5%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12038;Drostdy-Hof;Cape Red Shiraz Merlot;69;750;1997-03-03;Rott vin, Mjukt & Barigt;Flaska;Skruvkapsyl;Western Cape;Sydafrika;Drostdy Cellars;Bibendum;2013;2013;13.5%;FS;0;Shiraz och merlot.;5 ;5 ;9 ;Shiraz,och,merlot;Bärig,rökig,smak,inslag,mörka,örter,sötlakrits ;Bärig,något,rökig,doft,inslag,mörka,örter,lakrits
12038;Drostdy-Hof;Cape Red Shiraz Merlot;189;3000;2000-10-02;Rott vin, Mjukt & Barigt;Box;Vridtapp;;Sydafrika;Drostdy Cellars;Bibendum;2013;2013;13.5%;FS;0;Shiraz och merlot.;5 ;5 ;9 ;Shiraz,och,merlot;Bärig,rökig,smak,inslag,mörka,örter,sötlakrits ;Bärig,något,rökig,doft,inslag,mörka,örter,lakrits
12044;Anura;Pinotage Syrah;79;750;2007-04-02;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Western Cape, Coastal Region, Paarl, Simonsberg-Paarl;Sydafrika;Anura Vineyards;WineWorld AB;2013;2013;14.5%;FS;0;55% pinotage och 45% syrah.;8 ;7 ;9 ;55%,pinotage,och,45%,syrah;Mycket,fruktig,något,rökig,smak,fatkaraktär,inslag,mörka,plommon,lakrits,örter,kaffe ;Fruktig,något,rökig,doft,fatkaraktär,inslag,mörka,plommon,lakrits,örter
12119;Rijk's;Shiraz Cinsault Mourvèdre Viognier;179;3000;2006-04-01;Rott vin;Box;Tryckknapp topp;Western Cape;Sydafrika;Rijks Private Cellar;Prime Wine Sweden AB;2012;2012;14%;BS;0;Shiraz, cinsault, mourvèdre och viognier.;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12120;Rowberry;Five Vine Selection;79;750;2013-12-02;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Western Cape;Sydafrika;Zorgvliet Wines;Sundance Wines AB;2012;2012;14.5%;FS;0;Cabernet sauvignon, merlot, cabernet franc, petit verdot och shiraz.;9 ;8 ;9 ;Cabernet,sauvignon,merlot,cabernet,franc,petit,verdot,och,shiraz;Fruktig,smak,fatkaraktär,inslag,mörka,örter,plommon,vanilj,gräs ;Fruktig,doft,fatkaraktär,inslag,mörka,örter,plommon,vanilj,paprika
12126;Beronia;Viticultura Ecológica;89;750;2009-04-01;Rott vin, Kryddigt & Mustigt;Flaska;Skruvkapsyl;Rioja;Spanien;Bodegas Beronia;Nigab;2012;2012;13.5%;FS;1;Tempranillo.;7 ;7 ;9 ;Tempranillo;Kryddig,smak,fatkaraktär,inslag,mörka,körsbär,kryddnejlika,vanilj,choklad ;Kryddig,doft,fatkaraktär,inslag,mörka,körsbär,jordgubbar,choklad,lakrits,vanilj
12157;Foot of Africa;Shiraz Viognier;69;750;2006-10-02;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Western Cape;Sydafrika;Kleine Zalze;Winemarket Nordic AB;2013;2013;14.5%;FS;0;95% shiraz och 5% viognier.;8 ;7 ;9 ;95%,shiraz,och,viognier;Mycket,fruktig,smak,inslag,mörka,vanilj,choklad ;Fruktig,doft,inslag,björnbär,plommon,choklad
12174;Hidden Rock;Petit Verdot Cabernet Sauvignon;59;750;2006-04-01;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;South Eastern Australia;Australien;Dominic Wines;Enjoy Wine & Spirits AB;2013;2013;13.5%;FS;0;75% petit verdot och 25% cabernet sauvignon.;7 ;6 ;9 ;75%,petit,verdot,och,25%,cabernet,sauvignon;Mycket,fruktig,smak,inslag,blåbär,svarta,vinbär,sötlakrits,mynta ;Ungdomlig,fruktig,doft,inslag,skogsbär,svarta,vinbär,sötlakrits,mynta
12174;Hidden Rock;Petit Verdot Cabernet Sauvignon;189;3000;2007-09-24;Rott vin, Fruktigt & Smakrikt;Box;Tryckknapp topp;South Eastern Australia;Australien;Dominic Wines;Enjoy Wine & Spirits AB;2013;2013;13.5%;BS;0;;7 ;6 ;9 ;75%,petit,verdot,och,25%,cabernet,sauvignon;Mycket,fruktig,smak,inslag,blåbär,svarta,vinbär,sötlakrits,mynta ;Ungdomlig,fruktig,doft,inslag,skogsbär,svarta,vinbär,sötlakrits,mynta
12300;Barone Ricasoli;Formulae;239;3000;2006-10-02;Rott vin, Kryddigt & Mustigt;Box;Vingtapp;Toscana;Italien;Barone Ricasoli;WineWorld AB;2013;2013;12.5%;FS;0;Sangiovese.;7 ;7 ;9 ;Sangiovese;Kryddig,smak,inslag,mörka,körsbär,rosmarin,vanilj ;Kryddig,doft,inslag,mörka,körsbär,rosmarin,choklad
12304;Lacrima di Morro d'Alba;Marotti Campi;80;750;2014-12-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Marche, Lacrima di Morro d'Alba;Italien;Marotti Campi;Theisvine AB;2013;2013;13%;FSN;0;Lacrima.;7 ;7 ;9 ;Lacrima;Nyanserad,kryddig,smak,inslag,plommon,eneträ,mörka,körsbär,lavendel,blåbär,färska,örter ;Nyanserad,något,parfymerad,doft,inslag,plommon,eneträ,mörka,körsbär,lavendel,äpplen
12324;Zenato;Ripassa;187;750;2002-06-03;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Valpolicella Classico;Italien;Zenato;Hjo Grosshandel AB;2010;2010;14%;FS;0;Corvina veronese 80 %, rondinella 10 % och sangiovese 10 %;9 ;9 ;9 ;Corvina,veronese,rondinella,och,sangiovese;Kryddig,smak,fatkaraktär,inslag,katrinplommon,mörka,körsbär,salvia,choklad ;Kryddig,doft,fatkaraktär,inslag,russin,mörka,körsbär,salvia,kanel,vanilj
12330;Brunello di Montalcino La Fuga;Tenute Folonari;279;750;2014-09-01;Rott vin, Stramt & Nyanserat;Flaska;Naturkork;Toscana, Brunello di Montalcino;Italien;Folonari;Ward Wines AB;2009;2009;15%;FSN;0;Sangiovese.;10;10;10;Sangiovese;Nyanserad,något,utvecklad,smak,fatkaraktär,inslag,torkade,körsbär,salvia,kakao,eneträ ;Nyanserad,något,utvecklad,doft,fatkaraktär,inslag,torkade,körsbär,salvia,nougat,plommon,eneträ,vanilj
12343;A;Amarone;219;750;2007-10-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella;Italien;Alpha Zeta;Mondo Wine Sweden AB;2011;2011;15%;FS;0;70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.;10;10;10;70%,corvina,veronese,25%,rondinella,och,cabernet,sauvignon;Kryddigt,smakrikt,fatkaraktär,inslag,torkade,körsbär,romrussin,mörk,choklad,sandelträ,vanilj ;Stor,kryddig,doft,fatkaraktär,inslag,korinter,romrussin,sandelträ,vanilj,mörk,choklad
12343;A;Amarone;119;375;2007-10-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella;Italien;Alpha Zeta;Mondo Wine Sweden AB;2011;2011;15%;FS;0;70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.;10;10;10;70%,corvina,veronese,25%,rondinella,och,cabernet,sauvignon;Kryddigt,smakrikt,fatkaraktär,inslag,torkade,körsbär,romrussin,mörk,choklad,sandelträ,vanilj ;Stor,kryddig,doft,fatkaraktär,inslag,korinter,romrussin,sandelträ,vanilj,mörk,choklad
12343;A;Amarone;399;1500;2010-10-01;Rott vin;Magnum;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella;Italien;Alpha Zeta;Mondo Wine Sweden AB;2010;NA;15%;BS;0;;10;10;10;70%,corvina,veronese,25%,rondinella,och,cabernet,sauvignon;Kryddigt,smakrikt,fatkaraktär,inslag,torkade,körsbär,romrussin,mörk,choklad,sandelträ,vanilj ;Stor,kryddig,doft,fatkaraktär,inslag,korinter,romrussin,sandelträ,vanilj,mörk,choklad
12352;Ladero;Tempranillo;59;750;2014-06-02;Rott vin;Flaska;Skruvkapsyl;La Mancha;Spanien;Bodegas Centro Españolas;Divine AB;2013;2013;13.5%;FSN;0;Tempranillo.;6 ;5 ;8 ;Tempranillo;Fruktig,smak,inslag,körsbär,björnbär,färska,örter,kryddor,sötlakrits ;Fruktig,doft,inslag,körsbär,björnbär,färska,örter,sötlakrits
12355;Inycon;Shiraz;75;750;2000-10-02;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Sicilien;Italien;Inycon Estate;Nigab;2012;2012;14%;FS;0;Syrah.;7 ;6 ;9 ;Syrah;Generöst,fruktig,smak,inslag,mörka,lakrits,örter ;Generöst,fruktig,doft,inslag,björnbär,lakrits,vanilj
12357;Brunello di Montalcino;Col dâ€™Orcia;269;750;1996-08-12;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Toscana, Brunello di Montalcino;Italien;Col d'Orcia;Carovin AB;2009;2009;14.5%;FS;0;Brunello (sangiovese grosso).;9 ;9 ;10;Brunello,(sangiovese,grosso);Nyanserad,utvecklad,smak,fatkaraktär,inslag,torkade,körsbär,tobak,tranbär,choklad,salvia ;Nyanserad,utvecklad,doft,fatkaraktär,inslag,torkade,körsbär,choklad,röda,salvia
12357;Brunello di Montalcino;;150;375;2007-10-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Toscana, Brunello di Montalcino;Italien;Col d'Orcia;Carovin AB;2009;2009;14%;FS;0;Brunello (sangiovese grosso).;9 ;9 ;10;Brunello,(sangiovese,grosso);Nyanserad,utvecklad,smak,fatkaraktär,inslag,torkade,körsbär,tobak,tranbär,choklad,salvia ;Nyanserad,utvecklad,doft,fatkaraktär,inslag,torkade,körsbär,choklad,röda,salvia
12363;Amarone Classico;;195;750;1996-09-02;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico;Italien;Ca' Montini;The WineAgency Sweden AB;2011;2011;15%;FS;0;Corvina veronese, rondinella, molinara.;9 ;8 ;9 ;Corvina,veronese,rondinella,molinara;Kryddig,aningen,utvecklad,smak,inslag,torkade,körsbär,mörk,choklad,pinjenötter,romrussin,örter ;Kryddig,utvecklad,doft,inslag,torkade,körsbärromrussin,choklad,vanilj,pinjenötter
12363;Amarone Classico;;99;375;2005-10-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico;Italien;Ca' Montini;The WineAgency Sweden AB;2011;2011;15%;FS;0;Corvina veronese, rondinella, molinara.;9 ;8 ;9 ;Corvina,veronese,rondinella,molinara;Kryddig,aningen,utvecklad,smak,inslag,torkade,körsbär,mörk,choklad,pinjenötter,romrussin,örter ;Kryddig,utvecklad,doft,inslag,torkade,körsbärromrussin,choklad,vanilj,pinjenötter
12366;Capitel de'Roari;Amarone;189;750;1996-10-07;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella;Italien;Luigi Righetti;janake wine group AB;2011;2011;15%;FS;0;;9 ;10;10;Ingen anged;Kryddig,aningen,utvecklad,smak,fatkaraktär,inslag,körsbär,blåbär,salvia,korinter,kakao ;Kryddig,aningen,utvecklad,doft,fatkaraktär,inslag,torkade,körsbär,russin,salvia,choklad,kanel
12366;Capitel de'Roari;Amarone;95;375;2005-10-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella;Italien;Luigi Righetti;janake wine group AB;2011;2011;15%;FS;0;;9 ;10;10;Ingen anged;Kryddig,aningen,utvecklad,smak,fatkaraktär,inslag,körsbär,blåbär,salvia,korinter,kakao ;Kryddig,aningen,utvecklad,doft,fatkaraktär,inslag,torkade,körsbär,russin,salvia,choklad,kanel
12378;Prego Rosso;;59;1000;1998-05-04;Rott vin, Mjukt & Barigt;Papp;;;Italien;Cantine Settesoli;Nigab;NA;NA;13.5%;FS;0;;5 ;4 ;9 ;Ingen anged;Bärig,smak,inslag,mörka,körsbär,vanilj ;Bärig,doft,inslag,mörka,lakrits
12379;Castelforte;Amarone della Valpolicella;169;750;2010-12-14;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella;Italien;Cantine Riondo;Winepartners Nordic AB;2010;2010;15%;FS;0;Corvina, rondinella och molinara samt ovriga druvsorter.;10;9 ;10;Corvina,rondinella,och,molinara,samt,övriga,druvsorter;Kryddig,fruktig,smak,inslag,mörka,körsbär,kanel,torkade,tranbär,choklad ;Kryddig,fruktig,doft,inslag,mörka,körsbär,kanel,svart,russin,choklad
12379;Castelforte;Amarone della Valpolicella;319;1500;2011-08-15;Rott vin, Kryddigt & Mustigt;Magnum;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella;Italien;Cantine Riondo;Winepartners Nordic AB;2010;2010;15%;FS;0;Corvina, rondinella och molinara samt ovriga druvsorter.;10;9 ;10;Corvina,rondinella,och,molinara,samt,övriga,druvsorter;Kryddig,fruktig,smak,inslag,mörka,körsbär,kanel,torkade,tranbär,choklad ;Kryddig,fruktig,doft,inslag,mörka,körsbär,kanel,svart,russin,choklad
12380;Rendola Governo;;115;750;2014-09-01;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Toscana;Italien;Rendola Srl;The Wine Team;2012;2012;14%;FSN;0;75% sangiovese och 25% merlot.;10;8 ;9 ;75%,sangiovese,och,25%,merlot;Smakrikt,fruktigt,fatkaraktär,inslag,plommon,choklad,körsbär,kryddor,romrussin,vanilj ;Nyanserad,fruktig,smak,fatkaraktär,inslag,plommon,mjölkchoklad,körsbär,kaffe,sötlakrits,vanilj
12385;Zenato;Valpolicella Classico;127;750;1997-06-02;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Valpolicella Classico;Italien;Zenato;Hjo Grosshandel AB;2011;2011;13.5%;FS;0;70% corvina, 20% rondinella och 10% sangiovese.;9 ;8 ;9 ;70%,corvina,20%,rondinella,och,10%,sangiovese;Nyanserad,kryddig,smak,inslag,mörka,körsbär,katrinplommon,salvia,tobak,choklad ;Nyanserad,kryddig,doft,inslag,mörka,körsbär,korinter,pinjenötter,viol,choklad
12399;Sivas-Sonoma;Old Vine Zinfandel;149;750;2014-09-01;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Kalifornien, North Coast, Sonoma County;USA;Don Sebastiani & Sons;Sundance Wines AB;2011;2011;15%;FSN;0;87% zinfandel, 6% tannat, 4% petite sirah och 3% sangiovese.;8 ;7 ;9 ;87%,zinfandel,tannat,petite,sirah,och,sangiovese;Nyanserad,fruktig,smak,fatkaraktär,inslag,björnbär,hallon,viol,peppar,mynta,kanel,vanilj ;Nyanserad,fruktig,doft,fatkaraktär,inslag,björnbär,hallon,viol,jordgubbar,smörkola,vanilj
12507;Vila Santa;Reserva;99;750;2000-12-04;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Alentejo, Alentejano;Portugal;João Portugal Ramos;Hermansson & Co AB;2012;2012;14%;FS;0;Trincadeira, aragones, periquita, alicante bouschet och cabernet sauvignon.;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12507;Vila Santa;Reserva;50;375;2013-12-02;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Alentejo, Alentejano;Portugal;João Portugal Ramos;Hermansson & Co AB;2012;2012;14%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12507;Vila Santa;Reserva;199;1500;2002-08-05;Rott vin, Fruktigt & Smakrikt;Magnum;Naturkork;Alentejo, Alentejano;Portugal;João Portugal Ramos;Hermansson & Co AB;2012;2012;14%;FS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12507;Vila Santa;Reserva;275;3000;2011-12-28;Rott vin, Fruktigt & Smakrikt;Box;Vingtapp;Alentejo, Alentejano;Portugal;João Portugal Ramos;Hermansson & Co AB;2012;2012;14%;FS;0;Trincadeira, aragones, periquita, alicante bouschet och cabernet sauvignon.;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12520;Dão;Casal Mor Reserva;49;750;1997-06-02;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Beiras, Dão;Portugal;Caves Primavera;Amka Vinimport AB;2012;NA;12.5%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12601;Conde de Valdemar;Gran Reserva;129;750;1996-09-16;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Rioja;Spanien;Bodegas Valdemar;Sigva AB;2005;2005;13.5%;FS;0;90% tempranillo och 10% mazuelo.;8 ;8 ;9 ;90%,tempranillo,och,10%,mazuelo;Utvecklad,kryddig,nyanserad,smak,fatkaraktär,inslag,plommon,dill,mörka,körsbär,korinter,kakao,tobak ;Utvecklad,kryddig,nyanserad,doft,fatkaraktär,inslag,plommon,dill,korinter,choklad,tobak
12613;Pata Negra;Gran Reserva;99;750;1997-02-03;Rott vin;Flaska;Naturkork;Valdepeñas;Spanien;Bodegas Vinartis;Prime Wine Sweden AB;2005;2005;13%;BS;0;Tempranillo;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
12615;Viña Herminia;;64;750;1997-09-01;Rott vin, Mjukt & Barigt;Flaska;Skruvkapsyl;Rioja;Spanien;Viña Herminia;janake wine group AB;2013;2013;13.5%;FS;0;Tempranillo 100%;5 ;5 ;9 ;Tempranillo,100%;Bärig,aningen,kryddig,smak,inslag,blåbär,körsbär,lakrits ;Bärig,något,kryddig,doft,inslag,skogsbär,örter,lakrits
12655;Stone Valley;Shiraz;69;750;2014-09-01;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Kalifornien;USA;Goldstone Land Company;Stellan Kramer AB;2013;2013;13.5%;FSN;0;90% shiraz, 5% zinfandel och 5% tannat.;8 ;7 ;9 ;90%,shiraz,zinfandel,och,tannat;Mycket,fruktig,smak,inslag,björnbär,viol,blåbär,peppar,vanilj ;Mycket,fruktig,doft,inslag,björnbär,mynta,blåbär,svartpeppar
12659;Conde de Valdemar;Crianza;79;750;2001-11-05;Rott vin, Kryddigt & Mustigt;Flaska;Skruvkapsyl;Rioja;Spanien;Bodegas Valdemar;Sigva AB;2010;2010;13.5%;FS;0;Tempranillo 80% och mazuelo 20%;7 ;8 ;9 ;Tempranillo,80%,och,mazuelo,20%;Kryddig,smak,fatkaraktär,inslag,körsbär,katrinplommon,vanilj,örter,choklad ;Kryddig,doft,fatkaraktär,inslag,torkade,körsbär,katrinplommon,choklad,örter,vanilj
12669;Lagunilla;Crianza;69;750;1996-03-04;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Rioja;Spanien;Bodegas Lagunilla;United Wineries Sweden AB;2010;2010;13.5%;FS;0;80% tempranillo och 20% garnacha.;6 ;6 ;9 ;80%,tempranillo,och,20%,garnacha;Utvecklad,kryddig,smak,inslag,torkade,körsbär,tobak,vanilj ;Utvecklad,kryddig,doft,inslag,torkade,körsbär,tobak,choklad
12670;El Coto;Crianza;78;750;1996-05-20;Rott vin, Kryddigt & Mustigt;Flaska;Skruvkapsyl;Rioja;Spanien;Bodegas El Coto;Spendrups Bryggeri AB;2010;2010;13%;FS;0;Tempranillo.;7 ;7 ;9 ;Ingen anged;Kryddig,smak,fatkaraktär,inslag,körsbär,lakrits,vanilj ;Kryddig,doft,fatkaraktär,inslag,mörka,körsbär,vanilj,kanel
12670;El Coto;Crianza;42;375;1997-09-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Rioja;Spanien;Bodegas El Coto;Spendrups Bryggeri AB;2010;2010;12.5%;FS;0;;7 ;7 ;9 ;Ingen anged;Kryddig,smak,fatkaraktär,inslag,körsbär,lakrits,vanilj ;Kryddig,doft,fatkaraktär,inslag,mörka,körsbär,vanilj,kanel
12679;Lat 42;Gran Reserva;99;750;2008-10-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Rioja;Spanien;Torre de Oña;Winepartners Nordic AB;2004;2004;13%;FS;0;Tempranillo.;8 ;8 ;9 ;Tempranillo;Mogen,kryddig,smak,fatkaraktär,inslag,dill,torkade,körsbär,korinter,tobak,choklad,sandelträ ;Mogen,kryddig,ursprungstypisk,doft,fatkaraktär,inslag,dill,torkade,körsbär,choklad,nötter,tobak
12697;Torres Gran Coronas;Cabernet Sauvignon Reserva;99;750;1996-09-02;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Penedès;Spanien;Miguel Torres;Miguel Torres;2010;2010;14%;FS;0;85% cabernet sauvignon och 15% tempranillo.;8 ;8 ;9 ;85%,cabernet,sauvignon,och,15%,tempranillo;Fruktig,aningen,utvecklad,smak,fatkaraktär,inslag,svarta,vinbär,katrinplommon,choklad,tobak ;Fruktig,aningen,utvecklad,doft,fatkaraktär,inslag,svarta,vinbär,katrinplommon,kaffe,choklad,tobak
12755;Torres San Valentín;Garnacha;65;750;1998-04-06;Rott vin, Mjukt & Barigt;Flaska;Naturkork;Catalunya;Spanien;Miguel Torres;Miguel Torres;2013;2013;14%;FS;1;Garnacha.;5 ;4 ;9 ;Garnacha;Ungdomlig,bärig,smak,inslag,körsbär,björnbär,sötlakrits ;Ungdomlig,bärig,doft,inslag,körsbär,björnbär,lakrits
12768;Bosman;Adama;119;750;2013-12-02;Rott vin, Stramt & Nyanserat;Flaska;Naturkork;Western Cape, Coastal Region, Paarl, Wellington;Sydafrika;Bosman Family Wines;Mondo Wine Sweden AB;2013;2013;14.5%;FS;0;80% shiraz och 20% mourvèdre.;10;9 ;9 ;80%,shiraz,och,20%,mourvèdre;Fruktig,nyanserad,smak,fatkaraktär,inslag,björnbär,tobak,plommon,peppar,kaffe,kakao ;Nyanserad,doft,fatkaraktär,inslag,björnbär,tobak,plommon,mörk,choklad,kaffe
12797;Castillo de Gredos;Red Wine;55;1000;1998-05-04;Rott vin, Mjukt & Barigt;Papp;;;Spanien;Bodegas Vinartis;Prime Wine Sweden AB;NA;NA;13%;FS;0;;3 ;3 ;8 ;Ingen anged;Bränd,aningen,kärv,smak,inslag,mogna,röda,bär ;Aningen,bränd,syltig,doft,inslag,mogna,röda
12797;Castillo de Gredos;Red Wine;129;3000;2000-02-07;Rott vin, Mjukt & Barigt;Box;Vingtapp;;Spanien;Bodegas Vinartis;Prime Wine Sweden AB;NA;NA;13%;FS;0;;3 ;3 ;8 ;Ingen anged;Bränd,aningen,kärv,smak,inslag,mogna,röda,bär ;Aningen,bränd,syltig,doft,inslag,mogna,röda
12799;Muriel;Vendimia Seleccionada;69;750;1998-06-02;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Rioja;Spanien;Bodegas Muriel;Giertz Vinimport AB;NA;NA;12.5%;FS;0;Tempranillo.;7 ;6 ;8 ;Tempranillo;Moget,inslag,torkad,frukt,vanilj ;Utvecklad,doft,inslag,torkad,frukt,vanilj,läder
12804;Réserve de la Condamine;;69;750;1997-05-20;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Languedoc-Roussillon, Fitou;Frankrike;Mont Tauch;janake wine group AB;2013;2013;13%;FS;0;Grenache, carignan och syrah.;7 ;7 ;9 ;Grenache,carignan,och,syrah;Fruktig,smak,inslag,blåbär,slånbär,örter,lakrits ;Fruktig,doft,inslag,skogshallon,muskot,lakrits
12808;JP Chenet;Cabernet-Syrah;59;750;1998-01-05;Rott vin, Mjukt & Barigt;Flaska;Skruvkapsyl;Languedoc-Roussillon, VdP d'Oc;Frankrike;JP Chenet;Stellan Kramer AB;2013;2013;13%;FS;0;Cabernet sauvignon och syrah.;5 ;5 ;9 ;Cabernet,sauvignon,och,syrah;Bärig,smak,inslag,skogsbär,vanilj,lakrits ;Bärig,doft,inslag,skogsbär,vanilj,örter
12808;JP Chenet;Cabernet-Syrah;36;375;2003-10-06;Rott vin, Mjukt & Barigt;Flaska;;Languedoc-Roussillon, VdP d'Oc;Frankrike;JP Chenet;Stellan Kramer AB;2013;2013;13%;FS;0;Cabernet sauvignon och syrah.;5 ;5 ;9 ;Cabernet,sauvignon,och,syrah;Bärig,smak,inslag,skogsbär,vanilj,lakrits ;Bärig,doft,inslag,skogsbär,vanilj,örter
