Varnummer;Namn;Underrubrik;Prisinklmoms;Volymiml;Saljstart;Varugrupp;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;Ekologisk;RavarorBeskrivning;fyllighet;stravhet;fruktsyra;druva;smak;doft
22273;Stellenzicht;Golden Triangle Pinotage;99;750;2003-05-05;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Western Cape, Coastal Region, Stellenbosch;Sydafrika;Stellenzicht;janake wine group AB;2012;2012;14%;FS;0;Pinotage.;9 ;8 ;9 ;Pinotage;Mycket,fruktig,smak,rostad,fatkaraktär,inslag,björnbär,plommon,choklad,eukalyptus ;Mycket,fruktig,doft,rostad,fatkaraktär,inslag,plommon,björnbär,choklad,eukalyptus,örter
22283;Cline;Zinfandel;89;750;2003-03-03;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Kalifornien;USA;Cline Cellars;Vinunic AB;2013;2013;14%;FS;0;75% zinfandel, 13% carignan, 6% mourvèdre, 3% barbera samt 3% ovriga druvsorter;7 ;5 ;8 ;75%,zinfandel,13%,carignan,mourvèdre,barbera,samt,övriga,druvsorter;Mycket,fruktig,smak,inslag,hallon,blåbär,vanilj ;Mycket,fruktig,doft,inslag,hallon,körsbär,örter,vanilj
22297;Appasanto;Castillo de Anna;149;3000;2003-04-07;Rott vin, Mjukt & Barigt;Box;Vingtapp;Valencia;Spanien;Anecoop;Winepartners Nordic AB;2013;2013;13.5%;FS;0;Tempranillo.;5 ;5 ;9 ;Tempranillo;Bärig,ungdomlig,smak,inslag,mörka,lakrits,gräs ;Bärig,ungdomlig,doft,inslag,mörka,muskot,gräs
22299;Domaine Lalande Réserve;Merlot;69;750;2003-09-01;Rott vin, Fruktigt & Smakrikt;Flaska;Skruvkapsyl;Languedoc-Roussillon, VdP d'Oc;Frankrike;Domaine Lalande;Domaine Wines Sweden AB;2012;2012;12.5%;FS;0;Merlot.;6 ;5 ;9 ;Merlot;Fruktig,smak,inslag,blåbär,plommon,örter ;Fruktig,doft,inslag,plommon,korinter,svarta,vinbär,örter
22300;Fontanafredda Ebbio;Langhe Nebbiolo;99;750;2007-10-01;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Piemonte, Langhe;Italien;Fontanafredda;Enjoy Wine & Spirits AB;2012;2012;13.5%;FS;0;Nebbiolo.;8 ;9 ;9 ;Nebbiolo;Kryddig,smak,fatkaraktär,inslag,körsbär,kanel,lakrits,lavendel,vanilj ;Nyanserad,kryddig,doft,fatkaraktär,inslag,körsbär,choklad,kanel,lakrits,rosmarin
22310;Lambrusco Reggiano;Dolce;55;750;1997-01-01;Rott vin, Sott;Flaska;Naturkork;Emilia-Romagna, Reggiano;Italien;Donelli;Enjoy Wine & Spirits AB;NA;NA;7%;FS;0;;5 ;NA;8 ;Ingen anged;Något,spritsigt,ungdomlig,bärig,smak,sötma,inslag,blåbär,körsbär,mandel,örter ;Bärig,ungdomlig,doft,inslag,blåbär,körsbär,mandel
22314;Velletri;Riserva;89;750;1997-04-07;Rott vin, Kryddigt & Mustigt;Flaska;Plastkork/syntetkork;Latium, Velletri;Italien;Vini di Velletri;Ward Wines AB;2009;2009;13.5%;FS;0;Montepulciano, cesanese och sangiovese.;7 ;6 ;9 ;Montepulciano,cesanese,och,sangiovese;Utvecklad,kryddig,smak,inslag,torkade,körsbär,russin,choklad,kanel ;Utvecklad,kryddig,doft,inslag,torkade,körsbär,russin,läder,kanel
22316;Pater Sangiovese;;75;750;1997-10-06;Rott vin, Kryddigt & Mustigt;Flaska;Skruvkapsyl;Toscana;Italien;Frescobaldi;Spendrups Bryggeri AB;NA;NA;12.5%;BS;0;;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
22320;Bolla Le Poiane;Ripasso;119;750;2001-12-03;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Valpolicella Classico, Valpolicella Classico Superiore;Italien;Bolla;Arvid Nordquist Vin och Sprithandel;2012;2012;14%;FS;0;Corvina, rondinella, molinara;8 ;8 ;9 ;Corvina,rondinella,molinara;Kryddig,nyanserad,smak,inslag,mörka,körsbär,salvia,viol,lakrits,choklad ;Kryddig,nyanserad,doft,inslag,mörka,körsbär,salvia,viol,choklad,vanilj
22328;Chianti Classico Riserva;Beni Duilio;131;750;2000-10-02;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Toscana, Chianti, Chianti Classico;Italien;Castellani;Nigab;2009;2009;13%;FS;0;Sangiovese.;8 ;9 ;9 ;Sangiovese;Kryddig,smak,fatkaraktär,inslag,körsbär,örter,kakao,pinjenötter ;Kryddig,doft,fatkaraktär,inslag,körsbär,torkade,örter,kanel,choklad,pinjenötter
