nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning
10001,25053,100,Braastad XO,,442.000,,700,631.43,2000-08-07,,Cognac,Flaska,Naturkork,"Cognac, Fine Champagne",Frankrike,Tiffon,Arcus Sweden AB,,,40%,FS,0,0,
10002,839774,100,Braastad XO,,349.000,,500,698,2014-06-02,,Cognac,Flaska,Naturkork,"Cognac, Fine Champagne",Frankrike,Tiffon,Arcus Sweden AB,,,40%,FS,0,0,
1001,190719,10,Vanlig Vodka,,195.000,,700,278.57,2006-04-01,,Okryddad sprit,Flaska,Skruvkapsyl,,Sverige,Svensk Export Vodka AB,Fondberg,,,37.5%,FS,0,0,Vete.
100103,868597,1001,Anchor Old Foghorn,,29.900,,355,84.23,2014-12-01,,"ol, Ale",Flaska,,,USA,Anchor Brewing Company,Cask Sweden AB,,,9.4%,FSN,0,0,Kornmalt och humle.
1001201,51029,10012,Dworek Vodka,,190.000,,700,271.43,2004-12-06,,Okryddad sprit,Flaska,,,Polen,Tarpan Fabryka Likierow,TIWA Trading AB,,,37.5%,FS,0,0,Rag.
1001202,407506,10012,Dworek Vodka,,100.000,,350,285.71,2009-10-01,,Okryddad sprit,Flaska,Skruvkapsyl,,Polen,Tarpan Fabryka Likierow,TIWA Trading AB,,,37.5%,FS,0,0,Olika sadesslag.
1005201,733236,10052,Balcones True Blue,,899.000,,700,1284.29,2013-03-01,,"Whisky, ovrig",Flaska,,,USA,Balcones Distilling,Cask Sweden AB,,,50.2%,TSE,0,0,
1005901,777789,10059,Bunnahabhain,12 Years Un-chillfiltered,449.000,,700,641.43,2013-12-02,,"Whisky, Malt",Flaska,,"Skottland, Islay",Storbritannien,Bunnahabhain,Interbrands Sweden AB,0,,46.3%,FS,0,0,Kornmalt.
1006101,780683,10061,Samuel Adams,Fat Jack Double Pumpkin,58.000,,650,89.23,2013-10-01,,"ol, Ale",Flaska,,,USA,Boston Beer Company,Galatea Spirits AB,,,8.5%,TSE,0,0,"Korn- och ragmalt, pumpa, kanel, ingefara, muskot och kryddpeppar."
1006903,780874,10069,De Molen,Bommen & Granaten,57.000,,330,172.73,2013-10-01,,"ol, Ale",Flaska,,,Nederlanderna,Brouwerij De Molen,Galatea Spirits AB,,,15.2%,TSE,0,0,"Kornmalt och humle av sorterna sladek, saaz och premiant."
1007901,781859,10079,Signatory,Glen Mhor,2999.000,,700,4284.29,2013-10-01,,"Whisky, Malt",Flaska,,Skottland,Storbritannien,Signatory,Galatea Spirits AB,1982,,53.7%,TSE,0,0,
1008301,781966,10083,Delamain,Extra,1999.000,,700,2855.71,2013-11-01,,Cognac,Flaska,,"Cognac, Grande Champagne",Frankrike,Delamain,Johan Lidby Vinhandel AB,,,40%,TSE,0,0,
1009102,786044,10091,Etter Zuger Kirsch,,326.000,,350,931.43,2013-10-01,,Sprit av frukt,Flaska,,,Schweiz,Etter Soehne AG Distillerie,Vinalliansen Legal Vintage Sweden AB,,,41%,TSE,0,0,
1009201,786047,10092,Botanivore,,487.000,,700,695.71,2013-12-02,,Gin,Flaska,,,USA,St George Spirits,Aros Import HB,,,45%,TSE,0,0,
1009801,787247,10098,Amrut,Sherry Cask,869.000,,700,1241.43,2014-02-01,,"Whisky, Malt",Flaska,,,Indien,Amrut Distilleries,Clydesdale AB,,,56.5%,TSE,0,0,Kornmalt.
101,1,1,Renat,,203.000,,700,290,1993-10-01,,Okryddad sprit,Flaska,,,Internationellt marke,Pernod Ricard,Pernod Ricard Sweden AB,,,37.5%,FS,0,0,Forr potatis numera endast sad.
1010001,817007,10100,Romano Levi,Mostaco d´Asti Donna Selvatica,790.000,,700,1128.57,2014-04-01,,"Grappa och Marc, Grappa",Flaska,,,Italien,Distilleria Levi Serafino ( di Levi Romano Srl),Haugen-Gruppen AB,,,40%,TSE,0,0,
1010806,751602,10108,Vieux Marc,Vignobles Brunier,1650.000,,1750,942.86,2013-06-01,,"Grappa och Marc, Marc",Flaska,,,Frankrike,Vignobles Brunier,janake wine group AB,2001,,42%,TSE,0,0,
1011301,872499,10113,The Whisky Agency,Mortlach,995.000,,700,1421.43,2014-09-19,,"Whisky, Malt",Flaska,Naturkork,Skottland,Storbritannien,The Whisky Agency,Origo Wine Import,1990,,51.5%,TSE,0,0,
1011401,811782,10114,Grappa Riserva Levi Romano,Distilleria Levi Serafino Donna Selvatica,989.000,,700,1412.86,2014-03-01,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Distilleria Levi Serafino ( di Levi Romano Srl),Haugen-Gruppen AB,,,50%,TSE,0,0,
1011601,614078,10116,Glenmorangie,Pride,24500.000,,1000,24500,2012-02-23,,"Whisky, Malt",Flaska,Naturkork,"Skottland, Highlands, Northern Highlands",Storbritannien,Glenmorangie,Moët Hennessy Sverige AB,1981,,56.7%,TSE,0,0,
1011701,857623,10117,apple & Kanel,med Bourbon,159.000,,700,227.14,2014-11-03,,Drinkar och Cocktails,Flaska,,,Tyskland,K A Back Edelbrandtweinbrenner,Granqvist Beverage House AB,,,15%,TSS,0,0,
1011902,863269,10119,Grappa di Promis,Gaja,399.000,,500,798,2014-11-21,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Gaja,Vinunic AB,,,45%,TSE,0,0,
1012101,781275,10121,El Jolgorio Madrecuixe,Agave de Cortes,1199.000,,700,1712.86,2013-09-02,,Tequila och Mezcal,Flaska,,,Mexiko,Agave de Cortes,AliasSmith AB,,,47%,TSE,0,0,
1012201,887084,10122,Zacapa,Reserva Limitada,799.000,,700,1141.43,2014-11-21,,"Rom, Mork",Flaska,,,Guatemala,Diageo Plc,Diageo Sweden AB,2014,,45%,TSE,0,0,
1012301,766612,10123,The Maltman Glen Keith,18 Years,869.000,,700,1241.43,2013-08-01,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,Meadowside Blending,Galatea Spirits AB,,,51.5%,TSE,0,0,
1012601,874805,10126,Nikka Taketsuru,Pure Malt,549.000,,700,784.29,2014-10-03,,"Whisky, Malt",Flaska,,,Japan,The Nikka Whisky Distilling Co,Symposion International AB,,,43%,TSE,0,0,Kornmalt.
1012801,870644,10128,Octomore,06.1 Scottish Barley,1399.000,,700,1998.57,2014-10-03,,"Whisky, Malt",Flaska,,,Storbritannien,Bruichladdich,Nigab,,,57%,TSE,0,0,Kornmalt.
1012902,863307,10129,Grappa di Gaia & Rey,Gaja,439.000,,500,878,2014-11-21,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Gaja,Vinunic AB,,,45%,TSE,0,0,
1013202,811711,10132,Capovilla,Grappa di Brunello,655.000,,500,1310,2014-03-01,,"Grappa och Marc, Grappa",Flaska,,,Italien,CAPOVILLA AZIENDA AGRICOLA DI CAPOVILLA VITTORIO,Haugen-Gruppen AB,,,44%,TSE,0,0,
1013502,863334,10135,Grappa di Costa Russi,Gaja,439.000,,500,878,2014-11-21,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Gaja,Vinunic AB,,,45%,TSE,0,0,
1013802,817026,10138,Eric Bordelet Calvados,,852.000,,500,1704,2014-04-01,,Calvados,Flaska,,"Normandie, Calvados",Frankrike,Eric Bordelet,Riktig Cider,1997,,51%,TSE,0,0,
1013901,871188,10139,Longmorn,16 Years,1095.000,,700,1564.29,2014-10-03,,"Whisky, Malt",Flaska,,Skottland,Storbritannien,Sansibar Whisky,Symposion International AB,1997,,48.5%,TSE,0,0,
1014002,634582,10140,Braunstein,Library Collection 11:1,999.000,,500,1998,2012-03-01,,"Whisky, Malt",Flaska,,,Danmark,Bryghuset Braunstein,Galatea Spirits AB,,,46%,TSE,0,0,
1014101,781272,10141,El Jolgorio Espadín,Agave de Cortes,886.000,,700,1265.71,2013-09-02,,Tequila och Mezcal,Flaska,,,Mexiko,Agave de Cortes,AliasSmith AB,,,47%,TSE,0,0,
1014302,863354,10143,Grappa di Magari,Gaja,399.000,,500,798,2014-11-21,,"Grappa och Marc, Grappa",Flaska,Naturkork,,Italien,Gaja,Vinunic AB,,,45%,TSE,0,0,
1014502,863570,10145,O.P. Anderson,Limited Edition Whisky Cask,350.000,,500,700,2014-10-03,,Kryddad sprit,Flaska,,,Sverige,Altia PLC,Altia Sweden AB,,,40%,TSE,0,0,
1014601,871235,10146,Glen Keith,22 Years,1595.000,,700,2278.57,2014-10-03,,"Whisky, Malt",Flaska,,Skottland,Storbritannien,Sansibar Whisky,Symposion International AB,1992,,49.3%,TSE,0,0,
1015001,872517,10150,Lagavulin,12 Years,859.000,,700,1227.14,2014-11-07,,"Whisky, Malt",Flaska,,"Skottland, Islay",Storbritannien,Diageo Plc,Diageo Sweden AB,,,54.4%,TSE,0,0,
1015101,872568,10151,Caol Ila,Distillers Edition,599.000,,700,855.71,2014-11-07,,"Whisky, Malt",Flaska,Naturkork,"Skottland, Islay",Storbritannien,Diageo Plc,Diageo Sweden AB,,,43%,TSE,0,0,Kornmalt.
1015301,872577,10153,The Macallan,Sienna,749.000,,700,1070,2014-12-05,,"Whisky, Malt",Flaska,,Skottland,Storbritannien,The Edrington Group,Edrington Sweden AB,,,43%,TSE,0,0,
1015601,828902,10156,Bocchino Riserva Cantina Privata,18 Years,749.000,,700,1070,2014-05-02,,"Grappa och Marc, Grappa",Flaska,Plastkork/syntetkork,,Italien,Distilleria Bocchino,Brandpartners AB,,,45%,TSE,0,0,
1015902,854266,10159,Facile,Arrak,179.000,,350,511.43,2014-06-02,,ovrig sprit,Flaska,,,Sverige,Facile & Co,Facile & Co AB,,,40%,TSE,0,0,Sockerror.
1016202,889025,10162,Domaine de Jouatmaou,,449.000,,500,898,2014-12-05,,Armagnac,Flaska,,"Armagnac, Bas-Armagnac",Frankrike,Domaine de Jouatmaou,BIN Vintage Import AB,2000,2000,51%,TSE,0,0,
1016501,639258,10165,Compass Box,Hedonism,725.000,,700,1035.71,2012-04-02,,"Whisky, Grain",Flaska,,Skottland,Storbritannien,Compass Box,Symposion International AB,,,43%,TSE,0,0,
1016601,639416,10166,Eau-de-Vie de Prune,,549.000,,700,784.29,2012-04-02,,Sprit av frukt,Flaska,,,Frankrike,Etienne Brana,Divine AB,,,42%,TSE,0,0,
1016901,645598,10169,Eau-de-Vie Marc D'Irouléguy,,499.000,,700,712.86,2012-04-02,,"Grappa och Marc, Marc",Flaska,Naturkork,,Frankrike,Etienne Brana,Divine AB,,,44%,TSE,0,0,
1018702,548418,10187,Braunstein 10:3,,999.000,,500,1998,2011-02-21,,"Whisky, Malt",Flaska,,,Danmark,Bryghuset Braunstein,Galatea Spirits AB,,,46%,TSE,0,0,
1019202,894466,10192,Strane,Merchant Strength,400.000,,500,800,2014-11-21,,Gin,Flaska,,"Vastra Gotalands lan, Sotenas kommun",Sverige,Smogen Whisky AB,Smogen Whisky AB,,,47.4%,TSLS,0,0,
1019301,611828,10193,Greenall's Berkeley Square,,499.000,,700,712.86,2012-03-01,,Gin,Flaska,Naturkork,,Storbritannien,G & J Greenall,Interbrands Sweden AB,,,40%,TST,0,0,
1019402,404133,10194,Rommehed,Julakvavit,192.000,,500,384,2009-11-16,,Kryddad sprit,Flaska,Plastkork/syntetkork,,Sverige,,Rommehed Wine & Spirits AB,,,37.5%,TSS,1,0,
1019701,673516,10197,Danica Gin,,369.000,,700,527.14,2012-08-01,,Gin,Flaska,Naturkork,,Danmark,Bryghuset Braunstein,Galatea Spirits AB,,,44.7%,TSE,0,0,
102,2,1,Renat,,110.000,,350,314.29,1993-10-01,,Okryddad sprit,Flaska,,,Internationellt marke,Pernod Ricard,Pernod Ricard Sweden AB,,,37.5%,FS,0,0,Forr potatis numera endast sad.
1020101,857641,10201,Aalborg,Jule Akvavit,299.000,,700,427.14,2014-11-03,,Kryddad sprit,Flaska,,,Danmark,De Danske Spritfabrikker,Arcus Sweden AB,2014,,47%,TSS,0,0,
1020702,857669,10207,Tegnér & Son,Julsnaps,149.000,,350,425.71,2014-11-03,,Kryddad sprit,Flaska,,,Sverige,Galatea Spirits AB,Galatea Spirits AB,,,40%,TSS,0,0,
1022301,405628,10223,Altissima,Vulgaris,398.000,,500,796,2009-11-16,,ovrig sprit,Flaska,,,Sverige,Trakumla Rom,Handpicked Wines Sweden AB,,,40%,TSE,0,0,
1023601,422685,10236,Blanche de Montal,,395.000,,700,564.29,2010-02-15,,"Brandy och Vinsprit, Vinsprit",Flaska,,Armagnac,Frankrike,Armagnac Montal,Symposion International AB,,,40%,TSE,0,0,
1023901,195565,10239,Tanqueray,London Dry Gin,279.000,,700,398.57,2006-04-01,,Gin,Flaska,Skruvkapsyl,,Storbritannien,Tanqueray Gordon,Diageo Sweden AB,,,43.1%,FS,0,0,
1024702,560340,10247,Mortlach,Cask 2310,583.000,,350,1665.71,2011-05-02,,"Whisky, Malt",Flaska,Naturkork,"Skottland, Highlands, Speyside",Storbritannien,Gordon & MacPhail,Symposion International AB,1984,,46%,TSE,0,0,Kornmalt.
1026002,428738,10260,Tement,Tresterbrand Sauvignon Blanc Zieregg,429.000,,350,1225.71,2010-03-15,,ovrig sprit,Flaska,Naturkork,,osterrike,Alois Golles,Mondo Wine Sweden AB,,,48%,TSE,0,0,
1027901,828774,10279,Bocchino Riserva Cantina Privata,8 Years,549.000,,700,784.29,2014-05-02,,"Grappa och Marc, Grappa",Flaska,Plastkork/syntetkork,,Italien,Distilleria Bocchino,Brandpartners AB,,,45%,TSE,0,0,
1029901,688160,10299,Aalborg,Jule Akvavit 2012,299.000,,700,427.14,2012-11-15,,Kryddad sprit,Flaska,,,Danmark,Pernod Ricard,Pernod Ricard Sweden AB,2012,,47%,TSS,0,0,
1031001,52586,10310,Rum Plantation,Grande Reserve Barbados,269.000,,700,384.29,2005-04-01,,"Rom, Mork",Flaska,,,Barbados,Cognac Ferrand,Spendrups Bryggeri AB,,,40%,FS,0,0,
1031701,678936,10317,The Macallan,MacKillop's Choice,1980.000,,700,2828.57,2012-09-01,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,Angus Dundee,Philipson Soderberg AB,1990,,50.6%,TSE,0,0,
1033301,159537,10333,De Luze XO,Très Vieille Réserve Fine Cognac,449.000,,700,641.43,2005-10-01,,Cognac,Flaska,Naturkork,Cognac,Frankrike,De Luze,Prime Wine Sweden AB,,,40%,BS,0,0,
1033901,596581,10339,Domaine Boingnères,,3054.000,,700,4362.86,2011-11-01,,Armagnac,Flaska,Naturkork,"Armagnac, Bas-Armagnac",Frankrike,Domaine Boingnères,BIN Vintage Import,1981,,48%,TSE,0,0,
1034301,596562,10343,Domaine Boingnères,Eau de Vie Folle Blanche,857.000,,700,1224.29,2011-11-01,,"Brandy och Vinsprit, Vinsprit",Flaska,Naturkork,,Frankrike,Domaine Boingnères,BIN Vintage Import,,,52%,TSE,0,0,
1034401,596575,10344,Domaine Boingnères,,2416.000,,700,3451.43,2011-11-01,,Armagnac,Flaska,Naturkork,"Armagnac, Bas-Armagnac",Frankrike,Domaine Boingnères,BIN Vintage Import,1976,,48%,TSE,0,0,
1035101,677935,10351,Highland Park,MacKillop's Choice,1895.000,,700,2707.14,2012-09-01,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Islands, Orkney",Storbritannien,Angus Dundee,Philipson Soderberg AB,1988,,50.8%,TSE,0,0,
1036202,600594,10362,Wisby Julaquavit,,228.000,,500,456,2011-11-14,,Kryddad sprit,Flaska,,"Gotlands lan, Gotland",Sverige,Gotlands Bryggeri,Spendrups Bryggeri AB,,,42%,TSS,0,0,.*
1036302,869761,10363,Linie Aquavit,Christmas Edition,219.000,,500,438,2014-11-03,,Kryddad sprit,Flaska,,,Norge,Arcus,Arcus Sweden AB,,,41.5%,TSS,0,0,
1036901,870418,10369,Glenglassaugh,Massandra Sherry Finish 41 years,6490.000,,700,9271.43,2014-09-18,,"Whisky, Malt",Flaska,,Skottland,Storbritannien,Glenglassaugh,Nigab,,,44.5%,TSE,0,0,
1037101,673941,10371,Hine Rare,VSOP,489.000,,700,698.57,2012-10-01,,Cognac,Flaska,,"Cognac, Fine Champagne",Frankrike,Thomas Hine,Interbrands Sweden AB,,,40%,FS,0,0,Ugni blanc.
1037702,499910,10377,Braunstein 10:1,,999.000,,500,1998,2010-08-16,,"Whisky, Malt",Flaska,,,Danmark,Braunstein,Galatea Spirits AB,,,46%,TSE,0,0,
1039302,676690,10393,Roslags Svenska Hallon,Premium,666.000,,500,1332,2012-08-01,,Sprit av frukt,Flaska,,,Sverige,Norrtelje Brenneri AB,Norrtelje Brenneri AB,2011,,42%,TSE,0,0,
1039401,567642,10394,Eau de Vie de Kirsch Vieux,Grande Réserve,570.000,,700,814.29,2011-05-16,,Sprit av frukt,Flaska,Naturkork,,Frankrike,Distillerie G Miclo,Symposion International AB,,,43%,TSE,0,0,
10401,181,104,Gekkeikan Sake,,89.000,,750,118.67,1993-01-24,,Sake,Flaska,Skruvkapsyl,,USA,Gekkeikan,Bornicon & Salming,,,14.6%,FS,0,0,
1040201,579762,10402,Glen Ord,Liquid Sun,785.000,,700,1121.43,2011-08-01,,"Whisky, Malt",Flaska,,Skottland,Storbritannien,Ehrlich & Schneider Gbr.,Symposion International AB,1996,,53%,TSE,0,0,
1040501,344701,10405,Benriach,Curiositas 10 Years,389.000,,700,555.71,2008-10-01,,"Whisky, Malt",Flaska,Naturkork,"Skottland, Highlands, Speyside",Storbritannien,BenRiach Distillery,Nigab,,,40%,BS,0,0,
1040701,48981,10407,Ardbeg,Uigeadail,685.000,,700,978.57,2004-08-02,,"Whisky, Malt",Flaska,,"Skottland, Islay",Storbritannien,Ardbeg Distillery,Moët Hennessy Sverige AB,,,54.2%,FS,0,0,Maltat korn.
1041001,653271,10410,Mackmyra,Moment 007 Skog,1119.000,,700,1598.57,2012-06-01,,"Whisky, Malt",Flaska,Naturkork,,Sverige,Mackmyra Svensk Whisky AB,Mackmyra Svensk Whisky AB,,,52.4%,TSE,0,0,
1041301,304394,10413,Nikka Yoichi,Single Malt 10 Years,599.000,,700,855.71,2008-04-01,,"Whisky, Malt",Flaska,,,Japan,The Nikka Whisky Distilling Co,Symposion International AB,,,45%,FS,0,0,Maltat korn.
1041401,342442,10414,The Glenlivet,Nàdurra 16 Years,471.000,,700,672.86,2008-10-01,,"Whisky, Malt",Flaska,Naturkork,"Skottland, Highlands, Speyside",Storbritannien,The Glenlivet Distillery,Pernod Ricard Sweden AB,,,55.1%,BS,0,0,Maltat korn.
1041901,303866,10419,Highland Park,15 Years,579.000,,700,827.14,2008-04-01,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Islands, Orkney",Storbritannien,Highland Distillers,Edrington Sweden AB,,,40%,FS,0,0,Maltat korn.
1042301,755910,10423,English Whisky Black Range Peated,,369.000,,700,527.14,2013-09-02,,"Whisky, Malt",Flaska,,England,Storbritannien,The English Whisky Co,Clydesdale AB,,,43%,BS,0,0,
1042701,534651,10427,Ardbeg,Corryvreckan,785.000,,700,1121.43,2011-04-01,,"Whisky, Malt",Flaska,,"Skottland, Islay",Storbritannien,Ardbeg Distillery,Moët Hennessy Sverige AB,,,57.1%,BS,0,0,
1042804,343315,10428,Classic Malts,Coastal Collection,399.000,,600,665,2008-10-01,,"Whisky, Malt",3 fl à 200 ml,,Skottland,Storbritannien,Diageo Plc,Diageo Sweden AB,,,44.9%,FS,0,0,Maltat korn.
1043001,510253,10430,Mackmyra,Brukswhisky,399.000,,700,570,2010-06-30,,"Whisky, Malt",Flaska,Plastkork/syntetkork,"Gavleborgs lan, Gavle kommun",Sverige,Mackmyra Svensk Whisky AB,Mackmyra Svensk Whisky AB,,,41.4%,FS,0,0,Maltat korn.
1043101,215285,10431,Glen Moray,16 Years,419.000,,700,598.57,2006-10-02,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,Glen Moray-Glenlivet Distillery,Bibendum,,,40%,BS,0,0,
1043601,689423,10436,The Singleton,18 years,829.000,,700,1184.29,2012-10-01,,"Whisky, Malt",Flaska,,"Skottland, Highlands",Storbritannien,Diageo Plc,Diageo Sweden AB,,,40%,TSE,0,0,
1044201,586722,10442,Eau-de-Vie de Framboise Sauvage,Grande Réserve,595.000,,700,850,2011-09-01,,Sprit av frukt,Flaska,,,Frankrike,Distillerie G Miclo,Symposion International AB,,,43%,TSE,0,0,
1044501,730406,10445,Strathisla,12 Years,349.000,,700,498.57,2013-04-02,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,Chivas Brother's,Pernod Ricard Sweden AB,,,40%,FS,0,0,Maltat korn.
1044701,245364,10447,The Black Grouse,,299.000,,700,427.14,2007-04-02,,"Whisky, Blended",Flaska,,Skottland,Storbritannien,Highland Distillers,Edrington Sweden AB,,,40%,FS,0,0,Maltat korn och andra sadesslag.
104501,4462,1045,Tomfat,,625.000,,0,0,1994-09-01,,,,,,Forpackning,olfat,SAB Miller Brands Europe AS Tjeckien Filial,,,0%,EA,0,0,
1045101,53091,10451,The Famous Grouse Malt Whisky,12 Years,379.000,,700,541.43,2005-04-01,,"Whisky, Malt",Flaska,,Skottland,Storbritannien,Highland Distillers,Edrington Sweden AB,,,40%,FS,0,0,Maltat korn.
1046501,164632,10465,Old Pulteney,12 Years,359.000,,700,512.86,2005-10-01,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Northern Highlands",Storbritannien,Pulteney Distillery,Berntson Brands AB,,,40%,FS,0,0,Maltat korn
1046701,243151,10467,The Macallan,Fine Oak 10 Years,399.000,,700,570,2007-04-02,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,The Macallan,Edrington Sweden AB,,,40%,FS,0,0,Maltat korn.
1047701,240076,10477,The Balvenie,Doublewood 12 Years,459.000,,700,655.71,2007-04-02,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,The Balvenie,Nigab,,,40%,FS,0,0,Maltat korn.
1048401,653153,10484,The Maltman,Glen Elgin 19 Years,989.000,,700,1412.86,2012-06-01,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,Meadowside Blending,Galatea Spirits AB,,,43%,TSE,0,0,
1049302,673497,10493,Braunstein,Library Collection 11:2,999.000,,500,1998,2012-08-01,,"Whisky, Malt",Flaska,,,Danmark,Braunstein,Galatea Spirits AB,,,46%,TSE,0,0,
1049701,159609,10497,Laphroaig,Quarter Cask,459.000,,700,655.71,2005-10-01,,"Whisky, Malt",Flaska,,"Skottland, Islay",Storbritannien,Laphroaig,Edrington Sweden AB,,,48%,FS,0,0,Maltat korn.
1049901,243091,10499,The Glenlivet,Archive 21 Years,950.000,,700,1357.14,2007-04-02,,"Whisky, Malt",Flaska,,"Skottland, Highlands, Speyside",Storbritannien,The Glenlivet Distillery,Pernod Ricard Sweden AB,,,43%,FS,0,0,Maltat korn.
10601,36404,106,Bache Gabrielsen,3 kors,309.000,,700,441.43,2002-09-02,,Cognac,Flaska,,Cognac,Frankrike,Bache Gabrielsen,janake wine group AB,,,40%,FS,0,0,"Ugni blanc, folle blanche, colombard och montils"
1066001,746719,10660,Louis Albert,,639.000,,700,912.86,2013-05-02,,Cognac,Flaska,Naturkork,Cognac,Frankrike,SARL Abel Morin à Thezac,Stockholm Wine Importers AB,1993,,40%,TSE,0,0,
1066201,787871,10662,Four Roses,Single Barrel Limited Edition,890.000,,700,1271.43,2013-10-01,,"Whisky, Bourbon",Flaska,,,USA,Four Roses,Pernod Ricard Sweden AB,2013,,63.2%,TSE,0,0,
1067601,795043,10676,Château de Gaube,Francis Darroze,1894.000,,700,2705.71,2013-11-01,,Armagnac,Flaska,Naturkork,"Armagnac, Bas-Armagnac",Frankrike,Darroze,BIN Vintage Import AB,1966,,44.5%,TSE,0,0,
1068208,850140,10682,Terre de Mistral Reserve,Côtes du Rhône Organic,245.000,,3000,81.67,2014-09-01,,"Rott vin, Kryddigt & Mustigt",Box,Vingtapp,"Rhonedalen, Côtes du Rhône",Frankrike,Les Vignerons d'Estezargues,Enjoy Wine & Spirits AB,2013,2013,14%,FSN,1,0,"Grenache, syrah, carignan och mourvèdre."
1068501,850273,10685,Hazelburn Rundlets & Kilderkins,Springbank,775.000,,700,1107.14,2014-08-01,,"Whisky, Malt",Flaska,,"Skottland, Campbeltown",Storbritannien,Springbank,Symposion International AB,,,50.1%,TSE,0,0,Kornmalt.
1068603,850312,10686,Cuvée des Jacobins,Brouwerij Bockor,26.400,,330,80,2014-09-01,,"ol, Specialol",Flaska,,,Belgien,Brouwerij Bockor,Amka Vinimport AB,,,5.5%,FSN,0,0,"Kornmalt, vete och humle."
1068701,850445,10687,John Medley,Kentucky Straight Bourbon Whiskey,249.000,,700,355.71,2014-09-01,,"Whisky, Bourbon",Flaska,Skruvkapsyl,Kentucky,USA,John Medley,Prime Wine Sweden AB,,,40%,FSN,0,0,"Huvudsakligen majs, men aven andra spannmal som rag och korn."
1068801,853333,10688,Liquid Library Auchroisk,The Whisky Agency,775.000,,700,1107.14,2014-08-01,,"Whisky, Malt",Flaska,Naturkork,"Skottland, Highlands, Speyside",Storbritannien,The Whisky Agency,Origo Wine Import,1996,,48.2%,TSE,0,0,
1070002,190013,10700,Minttu,Peppermint,190.000,,500,380,2005-11-14,,"Likor, Kryddor och orter",Flaska,Skruvkapsyl,,Finland,Pernod Ricard,Pernod Ricard Sweden AB,,,40%,FS,0,0,
1077801,166487,10778,Passoã,Passion Drink,189.000,,700,270,2005-10-01,,"Likor, Frukter och bar",Flaska,,,Frankrike,Remy Cointreau,Nigab,,,17%,FS,0,0,
1077802,166495,10778,Passoã,Passion Drink,109.000,,350,311.43,2005-10-01,,"Likor, Frukter och bar",Flaska,,,Frankrike,Remy Cointreau,Nigab,,,17%,FS,0,0,
10801,185,108,Smirnoff,,219.000,,700,312.86,1993-10-01,,Okryddad sprit,Flaska,,,Storbritannien,Pierre Smirnoff Company,Diageo Sweden AB,,,37.5%,FS,0,0,Sad.
10802,186,108,Smirnoff,,119.000,,350,340,1993-10-01,,Okryddad sprit,Flaska,Skruvkapsyl,,Storbritannien,Pierre Smirnoff Company,Diageo Sweden AB,,,37.5%,FS,0,0,Sad.
10901,188,109,Bombay Sapphire,London Dry Gin,299.000,,700,427.14,1993-10-01,,Gin,Flaska,Skruvkapsyl,,Storbritannien,Bombay Spirits,Bacardi AB,,,40%,FS,0,0,
1100001,878815,11000,Bestefar,Haandbryggeriet,52.900,,500,105.8,2014-12-05,,"ol, Ale",Flaska,,,Norge,Haandbryggeriet,Amka Vinimport AB,2013,,9%,TSE,0,0,Kornmalt och humle.
1100614,824383,11006,Centennial IPA,,21.900,1.000,355,61.69,2014-06-02,,"ol, Ale",Burk,,,USA,Founders Brewing Company,AB Wicked Wine Sweden,,,7.2%,FS,0,0,Kornmalt och humle av sorten centennial.
1100703,753283,11007,Arketyp,,75.000,,250,300,2013-06-01,,"ol, Ale",Flaska,,,Sverige,Nynashamns angbryggeri AB,Nynashamns angbryggeri AB,,,10%,TSE,0,0,Kornmalt och humle.
1101,669215,11,Motorhead Vodka,,393.000,,700,561.43,2012-05-21,,Okryddad sprit,Flaska,Plastkork/syntetkork,"Sodermanlands lan, Flens kommun",Sverige,Malmkopings Nya Spritbolag AB,Brands For Fans Sweden AB,,,40%,BS,0,0,
1101203,865911,11012,Flying Dog,K-9 Winter Cruiser Winter Ale,27.900,,355,78.59,2014-11-03,,"ol, Ale",Flaska,,,USA,Flying Dog Brewery,AB Wicked Wine Sweden,,,7.4%,TSS,0,0,
