nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning
135203,873,1352,TT,Original Lager,11.700,,330,35.45,1992-07-01,,"ol, Ljus lager",Flaska,,"Stockholms lan, Stockholms stad",Sverige,Three Towns Ind Brewers,Galatea Spirits AB,,,4.5%,FS,1,0,Kornmalt och humle.
135212,508399,1352,TT,Original Lager,11.700,1.000,500,23.4,2011-12-05,,"ol, Ljus lager",Burk,,"Stockholms lan, Stockholms stad",Sverige,Three Towns Ind Brewers,Galatea Spirits AB,,,4.5%,FS,1,0,Kornmalt och humle.
135303,9824,1353,Budvar,Budejovicky,11.900,,330,36.06,1996-02-05,,"ol, Ljus lager",Flaska,,,Tjeckien,Budweiser Budvar,Galatea Spirits AB,,,5%,FS,0,0,Kornmalt och humle.
135603,824225,1356,Old Speckled Hen,,14.900,,355,41.97,2014-03-01,,"ol, Ale",Flaska,,England,Storbritannien,Morland & Co,TOMP Beer Wine & Spirits AB,,,5%,FS,0,0,"Kornmalt, majs; goldings- och challengerhumle; overjast"
135901,9828,1359,Aecht Schlenkerla Rauchbier,,25.900,,500,51.8,1996-03-04,,"ol, Specialol",Flaska,,,Tyskland,Heller,Galatea Spirits AB,,,5.1%,FS,0,0,Kornmalt och humle.
13602,735017,136,Pors,,219.000,,500,438,2013-06-01,,Kryddad sprit,Flaska,,,Sverige,Symposion International,Symposion International AB,,,40%,BS,0,0,
136501,434626,1365,Carlsberg Hof,,15.400,1.000,500,30.8,2010-03-24,,"ol, Ljus lager",PET-flaska,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,4.2%,FS,0,0,Kornmalt och humle.
136503,53086,1365,Carlsberg Hof,,12.900,,330,39.09,2005-04-01,,"ol, Ljus lager",Flaska,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,4.2%,FS,0,0,Kornmalt och humle.
136512,507837,1365,Carlsberg Hof,,13.900,1.000,500,27.8,2011-10-18,,"ol, Ljus lager",Burk,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,4.2%,FS,0,0,Kornmalt och humle.
13701,20545,137,Delamain,Pale & Dry,699.000,,700,998.57,1999-11-01,,Cognac,Flaska,,"Cognac, Grande Champagne",Frankrike,Delamain,Johan Lidby Vinhandel AB,,,40%,FS,0,0,
137103,9886,1371,abro Original,Extra Stark,8.900,.600,330,26.97,1996-04-01,,"ol, Ljus lager",Flaska,,"Kalmar lan, Vimmerby kommun",Sverige,abro Bryggeri,abro Bryggeri,,,7.3%,FS,0,0,Svensk och dansk malt; hallertau och spalt humle; underjast
137115,593822,1371,abro Original,Extra Stark,9.600,1.000,330,29.09,2011-10-01,,"ol, Ljus lager",Burk,,"Kalmar lan, Vimmerby kommun",Sverige,abro Bryggeri,abro Bryggeri,,,7.3%,FS,0,0,
137301,9906,1373,Jamtlands President,,24.000,.900,500,48,1996-03-01,,"ol, Ljus lager",Flaska,,"Jamtlands lan, Bracke kommun",Sverige,Jamtlands Bryggeri AB,Jamtlands Bryggeri AB,,,5.2%,BS,0,0,"Lagermalt; hallertau, northern brewer och saaz humle; underjast"
137901,10538,1379,Mariestads Old Ox,,17.500,.900,500,35,1996-04-01,,"ol, Ljus lager",Flaska,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,6.9%,FS,0,0,Kornmalt och humle.
137912,507946,1379,Mariestads Old Ox,,17.500,1.000,500,35,2011-10-31,,"ol, Ljus lager",Burk,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,6.9%,FS,0,0,Kornmalt och humle.
138401,16577,1384,Jamtlands Pilgrim,Ale,24.900,.900,500,49.8,1998-09-07,,"ol, Ale",Flaska,,"Jamtlands lan, Bracke kommun",Sverige,Jamtlands Bryggeri AB,Jamtlands Bryggeri AB,,,4.5%,BS,0,0,
139212,508387,1392,"Arboga 7,3",,11.500,1.000,330,34.85,2011-10-24,,"ol, Ljus lager",Burk,,"Stockholms lan, Stockholms stad",Sverige,Three Towns Ind Brewers,Galatea Spirits AB,,,7.3%,FS,0,0,Kornmalt och humle.
139403,650579,1394,KISS,Destroyer,17.900,,330,54.24,2012-03-12,,"ol, Ljus lager",Flaska,,,Sverige,Rock 'n' Wines,Rewine AB,,,4.7%,BS,0,0,
139501,810893,1395,Dugges,Pasklager,25.300,,500,50.6,2014-04-01,,"ol, Mork lager",Flaska,,,Sverige,Dugges Ale- & Porterbryggeri,Dugges Ale- & Porterbryggeri AB,,,6%,TSS,0,0,
139601,191617,1396,Mythos,Lager,15.900,,500,31.8,2006-04-01,,"ol, Ljus lager",Flaska,,,Grekland,Mythos Breweries,Carlsberg Sverige AB,,,4.7%,BS,0,0,Kornmalt och humle.
140003,402935,1400,Wisby,Klosterol,17.800,,330,53.94,2009-10-01,,"ol, Ale",Flaska,,"Gotlands lan, Gotland",Sverige,Gotlands Bryggeri,Spendrups Bryggeri AB,,,5%,FS,0,0,Korn- och vetemalt samt humle.
1400301,653288,14003,Mackmyra,Moment 008 Solsken,1249.000,,700,1784.29,2012-06-01,,"Whisky, Malt",Flaska,Naturkork,,Sverige,Mackmyra Svensk Whisky AB,Mackmyra Svensk Whisky AB,,,52.6%,TSE,0,0,
140115,731231,1401,Carlsberg Sort Guld,,12.900,1.000,330,39.09,2013-06-01,,"ol, Ljus lager",Burk,,,Internationellt marke,Carlsberg Litauen,Carlsberg Sverige AB,,,5.5%,FS,0,0,Kornmalt och humle.
140301,7401,1403,Tuborg Guld,,13.900,.900,500,27.8,1995-03-06,,"ol, Ljus lager",Flaska,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5.3%,BS,0,0,Kornmalt och humle.
140303,919,1403,Tuborg Guld,,11.400,.600,330,34.55,1973-03-03,,"ol, Ljus lager",Flaska,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5.3%,BS,0,0,Kornmalt och humle.
140312,507817,1403,Tuborg Guld,,13.900,1.000,500,27.8,2011-09-26,,"ol, Ljus lager",Burk,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5.3%,FS,0,0,Kornmalt och humle.
140403,847923,1404,Bríó,,13.900,,330,42.12,2014-09-01,,"ol, Ljus lager",Flaska,,,Island,olgerdin Egill Skallagrimsson,Kronleins,,,4.8%,FSN,0,0,Kornmalt och humle.
140615,508224,1406,Anderssons,,8.900,1.000,330,26.97,2010-10-01,,"ol, Ljus lager",Burk,,,Sverige,Hellefors Bryggeri,Anderssons ol AB,,,5.2%,FS,0,0,
140715,675480,1407,Backyard Brew,The Lawn Mower,9.900,1.000,330,30,2012-10-01,,"ol, Ljus lager",Burk,,"Hallands lan, Falkenbergs kommun",Sverige,Carlsberg Sverige AB,Carlsberg Sverige AB,,,4.8%,BS,0,0,
140915,717611,1409,Carlsberg Export,,11.900,1.000,330,36.06,2013-03-01,,"ol, Ljus lager",Burk,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5%,FS,0,0,Kornmalt och humle.
141001,240643,1410,Bedaro Bitter,,28.600,,500,57.2,2006-12-20,,"ol, Ale",Flaska,,"Stockholms lan, Nynashamns kommun",Sverige,Nynashamns angbryggeri AB,Nynashamns angbryggeri AB,,,4.5%,FS,0,0,"Pale ale-, crystal- och vetemalt samt humle av sorterna chinook och cascade."
14104,635546,141,En Back Snaps,Roda backen,269.000,,600,448.33,2012-03-26,,Kryddad sprit,12 fl à 50 ml,Skruvkapsyl,,Internationellt marke,,Granqvist Beverage House AB,,,35%,FS,0,0,
141112,508236,1411,abro Original,Starkol,10.900,1.000,500,21.8,2011-11-02,,"ol, Ljus lager",Burk,,"Kalmar lan, Vimmerby kommun",Sverige,abro Bryggeri,abro Bryggeri,,,5.2%,FS,0,0,Kornmalt och humle.
141201,939,1412,Norrlands Guld,Export,12.900,.900,500,25.8,1955-10-01,,"ol, Ljus lager",Flaska,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,5.3%,FS,0,0,Kornmalt och humle.
141203,544125,1412,Norrlands Guld,Export,11.900,1.000,330,36.06,2011-04-01,,"ol, Ljus lager",PET-flaska,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,5.3%,FS,0,0,Kornmalt och humle.
141212,507949,1412,Norrlands Guld,Export,12.900,1.000,500,25.8,2011-11-28,,"ol, Ljus lager",Burk,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,5.3%,FS,0,0,Kornmalt och humle.
141215,805587,1412,Norrlands Guld,Export,9.900,1.000,330,30,2014-03-01,,"ol, Ljus lager",Burk,,,Sverige,Spendrups,Spendrups Bryggeri AB,,,5.3%,FS,0,0,
141403,731298,1414,S:t Eriks,Amber Ale,17.900,,330,54.24,2013-06-01,,"ol, Ale",Flaska,,,Sverige,S:t Eriks Bryggeri,Galatea Spirits AB,,,4.5%,FS,0,0,Kornmalt och humle.
141503,670353,1415,Oppigards,Indian Tribute,22.500,,330,68.18,2012-06-04,,"ol, Ale",Flaska,,"Dalarnas lan, Hedemora kommun",Sverige,Oppigards Bryggeri AB,Oppigards Bryggeri AB,,,6.6%,FS,0,0,Kornmalt och humle.
141612,507874,1416,Lowenbrau,,14.900,1.000,500,29.8,2011-10-01,,"ol, Ljus lager",Burk,,,Tyskland,InBev,Carlsberg Sverige AB,,,5.2%,FS,0,0,Kornmalt och humle.
141803,27855,1418,Peroni Nastro Azzurro,,15.900,,330,48.18,2001-08-06,,"ol, Ljus lager",Flaska,,,Italien,Birra Peroni,SAB Miller Brands Europe AS Tjeckien Filial,,,5.1%,FS,0,0,
141903,767259,1419,Mohawk,Extra IPA,25.900,,330,78.48,2013-09-02,,"ol, Ale",Flaska,,"Uppsala lan, Uppsala kommun",Sverige,Gamla Slottskallans Bryggeri,AB Wicked Wine Sweden,,,7.5%,BS,0,0,
142003,545186,1420,S:t Eriks Pale Ale,,17.900,,330,54.24,2011-04-01,,"ol, Ale",Flaska,,"Stockholms lan, Sigtuna kommun",Sverige,S:t Eriks Bryggeri,Galatea Spirits AB,,,4.5%,FS,0,0,Pale alemalt och humle av sorten citra.
142112,507955,1421,Spendrups Premium Gold,,13.400,1.000,500,26.8,2011-11-29,,"ol, Ljus lager",Burk,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,5.9%,FS,0,0,
142203,825530,1422,Mohawk,Brown Is The New Brown,21.400,,330,64.85,2014-06-02,,"ol, Ale",Flaska,,,Sverige,Mohawk Brewing Company,AB Wicked Wine Sweden,,,5.7%,FS,0,0,"Kornmalt samt humle av sorterna amarillo, chinook och willamette."
142403,826654,1424,Nils Oscar,Belgo Pale Ale,18.900,,330,57.27,2014-06-02,,"ol, Ale",Flaska,,,Sverige,Nils Oscar Company,The Nils Oscar Company AB,,,4.4%,FS,0,0,"Pilsner-, carapale- och wienermalt samt humle av sorterna centennial, el dorado och amarillo."
142512,508406,1425,Three Towns,Premium Lager,11.700,1.000,500,23.4,2011-12-16,,"ol, Ljus lager",Burk,,"Stockholms lan, Stockholms stad",Sverige,Three Towns Ind Brewers,Galatea Spirits AB,,,5.2%,FS,0,0,Kornmalt och humle.
142615,732579,1426,Zeunerts Original,,8.900,1.000,330,26.97,2013-03-28,,"ol, Ljus lager",Burk,,,Sverige,Kopparbergs/Sofiero Bryggeri,KopparbergsSofiero Bryggeri,,,5.3%,FS,0,0,Kornmalt och humle.
142801,781421,1428,Singha,,28.700,,630,45.56,2013-09-02,,"ol, Ljus lager",Flaska,,,Thailand,Boon Rawd Brewery,Bornicon & Salming,,,5%,BS,0,0,
142803,275861,1428,Singha,,16.200,,330,49.09,2007-10-01,,"ol, Ljus lager",Flaska,,,Thailand,Boon Rawd Brewery,Bornicon & Salming,,,5%,FS,0,0,Kornmalt och humle.
142912,508179,1429,Crocodile Lager,,11.500,1.000,500,23,2011-12-07,,"ol, Ljus lager",Burk,,"Hallands lan, Halmstads kommun",Sverige,Kronleins,Kronleins,,,5.2%,FS,0,0,
143015,766343,1430,Warby Stockholm,Extra Stark,9.900,1.000,330,30,2013-09-02,,"ol, Ljus lager",Burk,,"Stockholms lan, Huddinge kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,7.2%,BS,0,0,
143203,636257,1432,S:t Eriks APA,American Pale Ale,17.900,,330,54.24,2012-04-02,,"ol, Ale",Flaska,,"Stockholms lan, Sigtuna kommun",Sverige,S:t Eriks Bryggeri,Galatea Spirits AB,,,5%,FS,0,0,Pilsner- och karamellmalt samt humle av sorten cascade.
143301,980,1433,Falcon Export,,12.900,.900,500,25.8,1995-04-11,,"ol, Ljus lager",Flaska,,"Hallands lan, Falkenbergs kommun",Sverige,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5.2%,FS,0,0,Kormalt och humle.
