"","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score"
"2305",463001,865606,4630,"Vylyan","Pinot Noir",69,NA,750,92,"2014-12-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Plastkork/syntetkork","Villány-Siklós, Villány","Ungern","Vylyan Vineyard and Winery","Vin Drumlin AB",2013,2013,"13.5%","FSN",0,0,"Pinot noir.","6 ","5 ","10","Pinot,noir","Kryddig.bärig.smak.inslag.skogsbär.jordgubbar.muskot.vanilj.örter ","Kryddig.bärig.doft.inslag.skogsbär.körsbär.muskot.lakrits.örter",99
"2307",463201,886579,4632,"Finca Antigua","Organic Selection",75,NA,750,100,"2014-12-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","La Mancha","Spanien","Finca Antigua","Amka Vinimport AB",2013,2013,"14%","FSN",1,0,"Tempranillo.","8 ","8 ","9 ","Tempranillo","Mycket.fruktig.smak.inslag.mörka.körsbär.kryddor.blåbär.choklad.örter.vanilj ","Mycket.fruktig.doft.inslag.mörka.körsbär.kryddor.plommon.örter.vanilj",99
"2317",47300801,416866,473008,"Canto Perlic","Petit Prestige",252,NA,750,336,"2009-10-01",NA,"Rott vin","Flaska","","Frankrike sydvast, Gaillac","Frankrike","Canto Perlic","Astas Vinkalla",2007,NA,"13%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2350",500301,20034,5003,"Beaujolais-Villages","",79,NA,750,105.33,"1999-09-06",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Bourgogne, Beaujolais, Beaujolais-Villages","Frankrike","Georges Duboeuf","Philipson Soderberg AB",2012,2012,"12.5%","FS",0,0,"Gamay.","5 ","4 ","9 ","Gamay","Ungdomlig.bärig.smak.inslag.skogshallon.blåbär.färska.örter ","Ungdomlig.bärig.doft.inslag.skogshallon.blåbär.färska.örter",99
"2362",506901,7637,5069,"Two Oceans","Cabernet Sauvignon Merlot",67,NA,750,89.33,"1995-06-19",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Drostdy Cellars","Philipson Soderberg AB",2012,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2366",510601,2962,5106,"Morgon","",89,NA,750,118.67,"1993-08-01",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Bourgogne, Beaujolais, Beaujolais Cru, Morgon","Frankrike","Georges Duboeuf","Philipson Soderberg AB",2012,2012,"13%","FS",0,0,"Gamay.","4 ","4 ","10","Gamay","Bärig.ungdomlig.smak.inslag.skogsbär.muskot.gräs ","Bärig.ungdomlig.doft.inslag.blåbär.hallon.lakrits.örter",99
"2369",512301,2974,5123,"Masi Campofiorin","",115,NA,750,153.33,"1994-05-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien","Italien","Masi","Philipson Soderberg AB",2010,2010,"13%","FS",0,0,"70% corvina, 25% rondinella och 5% molinara.","7 ","7 ","10","70%,corvina,25%,rondinella,och,molinara","Kryddig.smak.inslag.körsbär.korinter.kanel.tranbär.vanilj ","Kryddig.nyanserad.doft.inslag.körsbär.salvia.korinter.svarta.oliver.kanel",99
"2370",512302,220779,5123,"Masi Campofiorin","",60,NA,375,160,"2006-10-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien","Italien","Masi","Philipson Soderberg AB",2010,2010,"13%","FS",0,0,"70% corvina, 25% rondinella och 5% molinara.","7 ","7 ","10","70%,corvina,25%,rondinella,och,molinara","Kryddig.smak.inslag.körsbär.korinter.kanel.tranbär.vanilj ","Kryddig.nyanserad.doft.inslag.körsbär.salvia.korinter.svarta.oliver.kanel",99
"2371",512306,20299,5123,"Masi Campofiorin","",220,NA,1500,146.67,"1999-10-04",NA,"Rott vin, Kryddigt & Mustigt","Magnum","Naturkork","Venetien","Italien","Masi","Philipson Soderberg AB",2010,2010,"13%","FS",0,0,"70% corvina, 25% rondinella och 5% molinara.","7 ","7 ","10","70%,corvina,25%,rondinella,och,molinara","Kryddig.smak.inslag.körsbär.korinter.kanel.tranbär.vanilj ","Kryddig.nyanserad.doft.inslag.körsbär.salvia.korinter.svarta.oliver.kanel",99
"2376",515001,714695,5150,"Fleurie Poncié","Domaine du Vissoux",149,NA,750,198.67,"2013-03-01",NA,"Rott vin, Mjukt & Barigt","Flaska","Naturkork","Bourgogne, Beaujolais, Beaujolais Cru, Fleurie","Frankrike","Domaine de Vissoux","Handpicked Wines Sweden AB",2012,2012,"12.5%","FS",0,0,"Gamay.","5 ","4 ","10","Gamay","Nyanserad.bärig.smak.inslag.skogshallon.körsbär.färska.örter ","Nyanserad.bärig.något.kryddig.doft.inslag.skogsbär.färska.örter.viol",99
