"","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score"
"107",1068208,850140,10682,"Terre de Mistral Reserve","Côtes du Rhône Organic",245,NA,3000,81.67,"2014-09-01",NA,"Rott vin, Kryddigt & Mustigt","Box","Vingtapp","Rhonedalen, Côtes du Rhône","Frankrike","Les Vignerons d'Estezargues","Enjoy Wine & Spirits AB",2013,2013,"14%","FSN",1,0,"Grenache, syrah, carignan och mourvèdre.","8 ","8 ","9 ","Grenache,syrah,carignan,och,mourvèdre","Nyanserad.kryddig.smak.inslag.hallon.plommon.choklad.vitpeppar.lagerblad.lakrits ","Nyanserad.kryddig.doft.inslag.hallon.blåbär.choklad.färska.örter.lakrits",99
"490",1200101,778619,12001,"Bouchard & Finlayson Galpin Peak Pinot Noir","",239,NA,750,318.67,"2013-11-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Western Cape, Cape South Coast, Walker Bay, Hemel-en-Aarde Valley","Sydafrika","Bouchard Finlayson","Handpicked Wines Sweden AB",2011,2011,"14%","TSE",0,0,"Pinot noir.","7 ","6 ","9 ","Pinot,noir","Nyanserad.kryddig.smak.rostad.fatkaraktär.inslag.jordgubbar.kaffe.mynta.plommon.ingefära.nougat ","Nyanserad.kryddig.doft.karaktär.rostade.ekfat.inslag.jordgubbar.kaffe.mynta.plommon.ingefära.nougat",99
"491",1200201,33861,12002,"Allesverloren","Tinta Barocca",125,NA,750,166.67,"2002-04-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Western Cape, Coastal Region, Swartland","Sydafrika","Allesverloren Wine Estate","janake wine group AB",2012,2012,"14%","FS",0,0,"Tinta barocca.","8 ","8 ","9 ","Tinta,barocca","Kryddig.smak.fatkaraktär.inslag.plommon.björnbär.kryddnejlika.choklad.vanilj ","Kryddig.doft.fatkaraktär.inslag.mörka.eukalyptus.tobak.choklad.kaffe",99
"492",1200206,640741,12002,"Allesverloren","Tinta Barocca",250,NA,1500,166.67,"2012-04-02",NA,"Rott vin","Magnum","","Western Cape, Coastal Region, Swartland","Sydafrika","Allesverloren Wine Estate","janake wine group AB",2011,2011,"14.5%","BS",0,0,"","8 ","8 ","9 ","Tinta,barocca","Kryddig.smak.fatkaraktär.inslag.plommon.björnbär.kryddnejlika.choklad.vanilj ","Kryddig.doft.fatkaraktär.inslag.mörka.eukalyptus.tobak.choklad.kaffe",99
"496",1201901,756075,12019,"Kleine Zalze Vineyard Selection","Cabernet Sauvignon Barrel Matured",129,NA,750,172,"2013-09-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Western Cape, Coastal Region, Stellenbosch","Sydafrika","Kleine Zalze","Winemarket Nordic AB",2011,2011,"14.5%","FS",0,0,"85% cabernet sauvignon, 10% merlot och 5% petit verdot.","10","9 ","9 ","85%,cabernet,sauvignon,10%,merlot,och,petit,verdot","Mycket.fruktig.nyanserad.smak.rostad.fatkaraktär.inslag.svarta.vinbär.plommon.mintchoklad.kaffe ","Fruktig.nyanserad.doft.fatkaraktär.inslag.svarta.vinbär.mintchoklad.plommon.kaffe",99
"501",1203501,766221,12035,"Helderberg","Merlot",95,NA,750,126.67,"2013-09-02",NA,"Rott vin","Flaska","Skruvkapsyl","Western Cape, Coastal Region, Stellenbosch","Sydafrika","Helderberg Winery","Prime Wine Sweden AB",2012,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"502",1203801,12163,12038,"Drostdy-Hof","Cape Red Shiraz Merlot",69,NA,750,92,"1997-03-03",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Drostdy Cellars","Bibendum",2013,2013,"13.5%","FS",0,0,"Shiraz och merlot.","5 ","5 ","9 ","Shiraz,och,merlot","Bärig.rökig.smak.inslag.mörka.örter.sötlakrits ","Bärig.något.rökig.doft.inslag.mörka.örter.lakrits",99
"503",1203808,24872,12038,"Drostdy-Hof","Cape Red Shiraz Merlot",189,NA,3000,63,"2000-10-02",NA,"Rott vin, Mjukt & Barigt","Box","Vridtapp","","Sydafrika","Drostdy Cellars","Bibendum",2013,2013,"13.5%","FS",0,0,"Shiraz och merlot.","5 ","5 ","9 ","Shiraz,och,merlot","Bärig.rökig.smak.inslag.mörka.örter.sötlakrits ","Bärig.något.rökig.doft.inslag.mörka.örter.lakrits",99
"504",1204401,238973,12044,"Anura","Pinotage Syrah",79,NA,750,105.33,"2007-04-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape, Coastal Region, Paarl, Simonsberg-Paarl","Sydafrika","Anura Vineyards","WineWorld AB",2013,2013,"14.5%","FS",0,0,"55% pinotage och 45% syrah.","8 ","7 ","9 ","55%,pinotage,och,45%,syrah","Mycket.fruktig.något.rökig.smak.fatkaraktär.inslag.mörka.plommon.lakrits.örter.kaffe ","Fruktig.något.rökig.doft.fatkaraktär.inslag.mörka.plommon.lakrits.örter",99
"518",1211908,190625,12119,"Rijk's","Shiraz Cinsault Mourvèdre Viognier",179,NA,3000,59.67,"2006-04-01",NA,"Rott vin","Box","Tryckknapp topp","Western Cape","Sydafrika","Rijks Private Cellar","Prime Wine Sweden AB",2012,2012,"14%","BS",0,0,"Shiraz, cinsault, mourvèdre och viognier.","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"519",1212001,735655,12120,"Rowberry","Five Vine Selection",79,NA,750,105.33,"2013-12-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Zorgvliet Wines","Sundance Wines AB",2012,2012,"14.5%","FS",0,0,"Cabernet sauvignon, merlot, cabernet franc, petit verdot och shiraz.","9 ","8 ","9 ","Cabernet,sauvignon,merlot,cabernet,franc,petit,verdot,och,shiraz","Fruktig.smak.fatkaraktär.inslag.mörka.örter.plommon.vanilj.gräs ","Fruktig.doft.fatkaraktär.inslag.mörka.örter.plommon.vanilj.paprika",99
"521",1212601,368117,12126,"Beronia","Viticultura Ecológica",89,NA,750,118.67,"2009-04-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rioja","Spanien","Bodegas Beronia","Nigab",2012,2012,"13.5%","FS",1,0,"Tempranillo.","7 ","7 ","9 ","Tempranillo","Kryddig.smak.fatkaraktär.inslag.mörka.körsbär.kryddnejlika.vanilj.choklad ","Kryddig.doft.fatkaraktär.inslag.mörka.körsbär.jordgubbar.choklad.lakrits.vanilj",99
"524",1215701,205747,12157,"Foot of Africa","Shiraz Viognier",69,NA,750,92,"2006-10-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Kleine Zalze","Winemarket Nordic AB",2013,2013,"14.5%","FS",0,0,"95% shiraz och 5% viognier.","8 ","7 ","9 ","95%,shiraz,och,viognier","Mycket.fruktig.smak.inslag.mörka.vanilj.choklad ","Fruktig.doft.inslag.björnbär.plommon.choklad",99
"528",1217401,190669,12174,"Hidden Rock","Petit Verdot Cabernet Sauvignon",59,NA,750,78.67,"2006-04-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Eastern Australia","Australien","Dominic Wines","Enjoy Wine & Spirits AB",2013,2013,"13.5%","FS",0,0,"75% petit verdot och 25% cabernet sauvignon.","7 ","6 ","9 ","75%,petit,verdot,och,25%,cabernet,sauvignon","Mycket.fruktig.smak.inslag.blåbär.svarta.vinbär.sötlakrits.mynta ","Ungdomlig.fruktig.doft.inslag.skogsbär.svarta.vinbär.sötlakrits.mynta",99
"529",1217408,283462,12174,"Hidden Rock","Petit Verdot Cabernet Sauvignon",189,NA,3000,63,"2007-09-24",NA,"Rott vin, Fruktigt & Smakrikt","Box","Tryckknapp topp","South Eastern Australia","Australien","Dominic Wines","Enjoy Wine & Spirits AB",2013,2013,"13.5%","BS",0,0,"","7 ","6 ","9 ","75%,petit,verdot,och,25%,cabernet,sauvignon","Mycket.fruktig.smak.inslag.blåbär.svarta.vinbär.sötlakrits.mynta ","Ungdomlig.fruktig.doft.inslag.skogsbär.svarta.vinbär.sötlakrits.mynta",99
"540",1230008,215617,12300,"Barone Ricasoli","Formulae",239,NA,3000,79.67,"2006-10-02",NA,"Rott vin, Kryddigt & Mustigt","Box","Vingtapp","Toscana","Italien","Barone Ricasoli","WineWorld AB",2013,2013,"12.5%","FS",0,0,"Sangiovese.","7 ","7 ","9 ","Sangiovese","Kryddig.smak.inslag.mörka.körsbär.rosmarin.vanilj ","Kryddig.doft.inslag.mörka.körsbär.rosmarin.choklad",99
"542",1230401,873520,12304,"Lacrima di Morro d'Alba","Marotti Campi",80,NA,750,106.67,"2014-12-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Marche, Lacrima di Morro d'Alba","Italien","Marotti Campi","Theisvine AB",2013,2013,"13%","FSN",0,0,"Lacrima.","7 ","7 ","9 ","Lacrima","Nyanserad.kryddig.smak.inslag.plommon.eneträ.mörka.körsbär.lavendel.blåbär.färska.örter ","Nyanserad.något.parfymerad.doft.inslag.plommon.eneträ.mörka.körsbär.lavendel.äpplen",99
"544",1232401,34990,12324,"Zenato","Ripassa",187,NA,750,249.33,"2002-06-03",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Valpolicella Classico","Italien","Zenato","Hjo Grosshandel AB",2010,2010,"14%","FS",0,0,"Corvina veronese 80 %, rondinella 10 % och sangiovese 10 %","9 ","9 ","9 ","Corvina,veronese,rondinella,och,sangiovese","Kryddig.smak.fatkaraktär.inslag.katrinplommon.mörka.körsbär.salvia.choklad ","Kryddig.doft.fatkaraktär.inslag.russin.mörka.körsbär.salvia.kanel.vanilj",99
"545",1233001,857333,12330,"Brunello di Montalcino La Fuga","Tenute Folonari",279,NA,750,372,"2014-09-01",NA,"Rott vin, Stramt & Nyanserat","Flaska","Naturkork","Toscana, Brunello di Montalcino","Italien","Folonari","Ward Wines AB",2009,2009,"15%","FSN",0,0,"Sangiovese.","10","10","10","Sangiovese","Nyanserad.något.utvecklad.smak.fatkaraktär.inslag.torkade.körsbär.salvia.kakao.eneträ ","Nyanserad.något.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.salvia.nougat.plommon.eneträ.vanilj",99
"547",1234301,272067,12343,"A","Amarone",219,NA,750,292,"2007-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella","Italien","Alpha Zeta","Mondo Wine Sweden AB",2011,2011,"15%","FS",0,0,"70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.","10","10","10","70%,corvina,veronese,25%,rondinella,och,cabernet,sauvignon","Kryddigt.smakrikt.fatkaraktär.inslag.torkade.körsbär.romrussin.mörk.choklad.sandelträ.vanilj ","Stor.kryddig.doft.fatkaraktär.inslag.korinter.romrussin.sandelträ.vanilj.mörk.choklad",99
"548",1234302,272052,12343,"A","Amarone",119,NA,375,317.33,"2007-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella","Italien","Alpha Zeta","Mondo Wine Sweden AB",2011,2011,"15%","FS",0,0,"70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.","10","10","10","70%,corvina,veronese,25%,rondinella,och,cabernet,sauvignon","Kryddigt.smakrikt.fatkaraktär.inslag.torkade.körsbär.romrussin.mörk.choklad.sandelträ.vanilj ","Stor.kryddig.doft.fatkaraktär.inslag.korinter.romrussin.sandelträ.vanilj.mörk.choklad",99
"549",1234306,519391,12343,"A","Amarone",399,NA,1500,266,"2010-10-01",NA,"Rott vin","Magnum","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella","Italien","Alpha Zeta","Mondo Wine Sweden AB",2010,NA,"15%","BS",0,0,"","10","10","10","70%,corvina,veronese,25%,rondinella,och,cabernet,sauvignon","Kryddigt.smakrikt.fatkaraktär.inslag.torkade.körsbär.romrussin.mörk.choklad.sandelträ.vanilj ","Stor.kryddig.doft.fatkaraktär.inslag.korinter.romrussin.sandelträ.vanilj.mörk.choklad",99
"552",1235201,836742,12352,"Ladero","Tempranillo",59,NA,750,78.67,"2014-06-02",NA,"Rott vin","Flaska","Skruvkapsyl","La Mancha","Spanien","Bodegas Centro Españolas","Divine AB",2013,2013,"13.5%","FSN",0,0,"Tempranillo.","6 ","5 ","8 ","Tempranillo","Fruktig.smak.inslag.körsbär.björnbär.färska.örter.kryddor.sötlakrits ","Fruktig.doft.inslag.körsbär.björnbär.färska.örter.sötlakrits",99
"553",1235501,25032,12355,"Inycon","Shiraz",75,NA,750,100,"2000-10-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Sicilien","Italien","Inycon Estate","Nigab",2012,2012,"14%","FS",0,0,"Syrah.","7 ","6 ","9 ","Syrah","Generöst.fruktig.smak.inslag.mörka.lakrits.örter ","Generöst.fruktig.doft.inslag.björnbär.lakrits.vanilj",99
"554",1235701,11070,12357,"Brunello di Montalcino","Col dâ€™Orcia",269,NA,750,358.67,"1996-08-12",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Toscana, Brunello di Montalcino","Italien","Col d'Orcia","Carovin AB",2009,2009,"14.5%","FS",0,0,"Brunello (sangiovese grosso).","9 ","9 ","10","Brunello,(sangiovese,grosso)","Nyanserad.utvecklad.smak.fatkaraktär.inslag.torkade.körsbär.tobak.tranbär.choklad.salvia ","Nyanserad.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.choklad.röda.salvia",99
"555",1235702,272743,12357,"Brunello di Montalcino","",150,NA,375,400,"2007-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Toscana, Brunello di Montalcino","Italien","Col d'Orcia","Carovin AB",2009,2009,"14%","FS",0,0,"Brunello (sangiovese grosso).","9 ","9 ","10","Brunello,(sangiovese,grosso)","Nyanserad.utvecklad.smak.fatkaraktär.inslag.torkade.körsbär.tobak.tranbär.choklad.salvia ","Nyanserad.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.choklad.röda.salvia",99
"556",1236301,11255,12363,"Amarone Classico","",195,NA,750,260,"1996-09-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico","Italien","Ca' Montini","The WineAgency Sweden AB",2011,2011,"15%","FS",0,0,"Corvina veronese, rondinella, molinara.","9 ","8 ","9 ","Corvina,veronese,rondinella,molinara","Kryddig.aningen.utvecklad.smak.inslag.torkade.körsbär.mörk.choklad.pinjenötter.romrussin.örter ","Kryddig.utvecklad.doft.inslag.torkade.körsbärromrussin.choklad.vanilj.pinjenötter",99
"557",1236302,166504,12363,"Amarone Classico","",99,NA,375,264,"2005-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico","Italien","Ca' Montini","The WineAgency Sweden AB",2011,2011,"15%","FS",0,0,"Corvina veronese, rondinella, molinara.","9 ","8 ","9 ","Corvina,veronese,rondinella,molinara","Kryddig.aningen.utvecklad.smak.inslag.torkade.körsbär.mörk.choklad.pinjenötter.romrussin.örter ","Kryddig.utvecklad.doft.inslag.torkade.körsbärromrussin.choklad.vanilj.pinjenötter",99
"558",1236601,11261,12366,"Capitel de'Roari","Amarone",189,NA,750,252,"1996-10-07",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella","Italien","Luigi Righetti","janake wine group AB",2011,2011,"15%","FS",0,0,"","9 ","10","10","Ingen anged","Kryddig.aningen.utvecklad.smak.fatkaraktär.inslag.körsbär.blåbär.salvia.korinter.kakao ","Kryddig.aningen.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.russin.salvia.choklad.kanel",99
"559",1236602,163432,12366,"Capitel de'Roari","Amarone",95,NA,375,253.33,"2005-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella","Italien","Luigi Righetti","janake wine group AB",2011,2011,"15%","FS",0,0,"","9 ","10","10","Ingen anged","Kryddig.aningen.utvecklad.smak.fatkaraktär.inslag.körsbär.blåbär.salvia.korinter.kakao ","Kryddig.aningen.utvecklad.doft.fatkaraktär.inslag.torkade.körsbär.russin.salvia.choklad.kanel",99
"560",1237801,15603,12378,"Prego Rosso","",59,NA,1000,59,"1998-05-04",NA,"Rott vin, Mjukt & Barigt","Papp","","","Italien","Cantine Settesoli","Nigab",NA,NA,"13.5%","FS",0,0,"","5 ","4 ","9 ","Ingen anged","Bärig.smak.inslag.mörka.körsbär.vanilj ","Bärig.doft.inslag.mörka.lakrits",99
"561",1237901,545091,12379,"Castelforte","Amarone della Valpolicella",169,NA,750,225.33,"2010-12-14",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella","Italien","Cantine Riondo","Winepartners Nordic AB",2010,2010,"15%","FS",0,0,"Corvina, rondinella och molinara samt ovriga druvsorter.","10","9 ","10","Corvina,rondinella,och,molinara,samt,övriga,druvsorter","Kryddig.fruktig.smak.inslag.mörka.körsbär.kanel.torkade.tranbär.choklad ","Kryddig.fruktig.doft.inslag.mörka.körsbär.kanel.svart.russin.choklad",99
"562",1237906,597060,12379,"Castelforte","Amarone della Valpolicella",319,NA,1500,212.67,"2011-08-15",NA,"Rott vin, Kryddigt & Mustigt","Magnum","Naturkork","Venetien, Valpolicella, Amarone della Valpolicella","Italien","Cantine Riondo","Winepartners Nordic AB",2010,2010,"15%","FS",0,0,"Corvina, rondinella och molinara samt ovriga druvsorter.","10","9 ","10","Corvina,rondinella,och,molinara,samt,övriga,druvsorter","Kryddig.fruktig.smak.inslag.mörka.körsbär.kanel.torkade.tranbär.choklad ","Kryddig.fruktig.doft.inslag.mörka.körsbär.kanel.svart.russin.choklad",99
"563",1238001,857512,12380,"Rendola Governo","",115,NA,750,153.33,"2014-09-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Toscana","Italien","Rendola Srl","The Wine Team",2012,2012,"14%","FSN",0,0,"75% sangiovese och 25% merlot.","10","8 ","9 ","75%,sangiovese,och,25%,merlot","Smakrikt.fruktigt.fatkaraktär.inslag.plommon.choklad.körsbär.kryddor.romrussin.vanilj ","Nyanserad.fruktig.smak.fatkaraktär.inslag.plommon.mjölkchoklad.körsbär.kaffe.sötlakrits.vanilj",99
"564",1238501,11613,12385,"Zenato","Valpolicella Classico",127,NA,750,169.33,"1997-06-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Valpolicella Classico","Italien","Zenato","Hjo Grosshandel AB",2011,2011,"13.5%","FS",0,0,"70% corvina, 20% rondinella och 10% sangiovese.","9 ","8 ","9 ","70%,corvina,20%,rondinella,och,10%,sangiovese","Nyanserad.kryddig.smak.inslag.mörka.körsbär.katrinplommon.salvia.tobak.choklad ","Nyanserad.kryddig.doft.inslag.mörka.körsbär.korinter.pinjenötter.viol.choklad",99
"565",1239901,848751,12399,"Sivas-Sonoma","Old Vine Zinfandel",149,NA,750,198.67,"2014-09-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Kalifornien, North Coast, Sonoma County","USA","Don Sebastiani & Sons","Sundance Wines AB",2011,2011,"15%","FSN",0,0,"87% zinfandel, 6% tannat, 4% petite sirah och 3% sangiovese.","9 ","8 ","9 ","87%,zinfandel,tannat,petite,sirah,och,sangiovese","Nyanserad.fruktig.smak.fatkaraktär.inslag.björnbär.hallon.viol.mynta.kanel.vanilj ","Nyanserad.fruktig.doft.fatkaraktär.inslag.björnbär.hallon.viol.kanel.choklad.vanilj",99
"577",1250701,11560,12507,"Vila Santa","Reserva",99,NA,750,132,"2000-12-04",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Alentejo, Alentejano","Portugal","João Portugal Ramos","Hermansson & Co AB",2012,2012,"14%","FS",0,0,"Trincadeira, aragones, periquita, alicante bouschet och cabernet sauvignon.","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"578",1250702,810764,12507,"Vila Santa","Reserva",50,NA,375,133.33,"2013-12-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Alentejo, Alentejano","Portugal","João Portugal Ramos","Hermansson & Co AB",2012,2012,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"579",1250706,35329,12507,"Vila Santa","Reserva",199,NA,1500,132.67,"2002-08-05",NA,"Rott vin, Fruktigt & Smakrikt","Magnum","Naturkork","Alentejo, Alentejano","Portugal","João Portugal Ramos","Hermansson & Co AB",2012,2012,"14%","FS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"580",1250708,636159,12507,"Vila Santa","Reserva",275,NA,3000,91.67,"2011-12-28",NA,"Rott vin, Fruktigt & Smakrikt","Box","Vingtapp","Alentejo, Alentejano","Portugal","João Portugal Ramos","Hermansson & Co AB",2012,2012,"14%","FS",0,0,"Trincadeira, aragones, periquita, alicante bouschet och cabernet sauvignon.","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"582",1252001,12658,12520,"Dão","Casal Mor Reserva",49,NA,750,65.33,"1997-06-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Beiras, Dão","Portugal","Caves Primavera","Amka Vinimport AB",2012,NA,"12.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"586",1260101,11321,12601,"Conde de Valdemar","Gran Reserva",129,NA,750,172,"1996-09-16",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Bodegas Valdemar","Sigva AB",2005,2005,"13.5%","FS",0,0,"90% tempranillo och 10% mazuelo.","8 ","8 ","9 ","90%,tempranillo,och,10%,mazuelo","Utvecklad.kryddig.nyanserad.smak.fatkaraktär.inslag.plommon.dill.mörka.körsbär.korinter.kakao.tobak ","Utvecklad.kryddig.nyanserad.doft.fatkaraktär.inslag.plommon.dill.korinter.choklad.tobak",99
"589",1261301,12108,12613,"Pata Negra","Gran Reserva",99,NA,750,132,"1997-02-03",NA,"Rott vin","Flaska","Naturkork","Valdepeñas","Spanien","Bodegas Vinartis","Prime Wine Sweden AB",2005,2005,"13%","BS",0,0,"Tempranillo","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"590",1261501,12483,12615,"Viña Herminia","",64,NA,750,85.33,"1997-09-01",NA,"Rott vin, Mjukt & Barigt","Flaska","Skruvkapsyl","Rioja","Spanien","Viña Herminia","janake wine group AB",2013,2013,"13.5%","FS",0,0,"Tempranillo 100%","5 ","5 ","9 ","Tempranillo,100%","Bärig.aningen.kryddig.smak.inslag.blåbär.körsbär.lakrits ","Bärig.något.kryddig.doft.inslag.skogsbär.örter.lakrits",99
"592",1265501,848601,12655,"Stone Valley","Shiraz",69,NA,750,92,"2014-09-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Kalifornien","USA","Goldstone Land Company","Stellan Kramer AB",2013,2013,"13.5%","FSN",0,0,"90% shiraz, 5% zinfandel och 5% tannat.","8 ","7 ","9 ","90%,shiraz,zinfandel,och,tannat","Mycket.fruktig.smak.inslag.björnbär.viol.blåbär.peppar.vanilj ","Mycket.fruktig.doft.inslag.björnbär.mynta.blåbär.svartpeppar",99
"593",1265901,31498,12659,"Conde de Valdemar","Crianza",79,NA,750,105.33,"2001-11-05",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rioja","Spanien","Bodegas Valdemar","Sigva AB",2010,2010,"13.5%","FS",0,0,"Tempranillo 80% och mazuelo 20%","7 ","8 ","9 ","Tempranillo,80%,och,mazuelo,20%","Kryddig.smak.fatkaraktär.inslag.körsbär.katrinplommon.vanilj.örter.choklad ","Kryddig.doft.fatkaraktär.inslag.torkade.körsbär.katrinplommon.choklad.örter.vanilj",99
"594",1266901,10304,12669,"Lagunilla","Crianza",69,NA,750,92,"1996-03-04",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Bodegas Lagunilla","United Wineries Sweden AB",2010,2010,"13.5%","FS",0,0,"80% tempranillo och 20% garnacha.","6 ","6 ","9 ","80%,tempranillo,och,20%,garnacha","Utvecklad.kryddig.smak.inslag.torkade.körsbär.tobak.vanilj ","Utvecklad.kryddig.doft.inslag.torkade.körsbär.tobak.choklad",99
"595",1267001,10331,12670,"El Coto","Crianza",78,NA,750,104,"1996-05-20",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rioja","Spanien","Bodegas El Coto","Spendrups Bryggeri AB",2010,2010,"13%","FS",0,0,"Tempranillo.","7 ","7 ","9 ","Ingen anged","Kryddig.smak.fatkaraktär.inslag.körsbär.lakrits.vanilj ","Kryddig.doft.fatkaraktär.inslag.mörka.körsbär.vanilj.kanel",99
"596",1267002,14024,12670,"El Coto","Crianza",42,NA,375,112,"1997-09-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Bodegas El Coto","Spendrups Bryggeri AB",2010,2010,"12.5%","FS",0,0,"","7 ","7 ","9 ","Ingen anged","Kryddig.smak.fatkaraktär.inslag.körsbär.lakrits.vanilj ","Kryddig.doft.fatkaraktär.inslag.mörka.körsbär.vanilj.kanel",99
"598",1267901,338837,12679,"Lat 42","Gran Reserva",99,NA,750,132,"2008-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Rioja","Spanien","Torre de Oña","Winepartners Nordic AB",2004,2004,"13%","FS",0,0,"Tempranillo.","8 ","8 ","9 ","Tempranillo","Mogen.kryddig.smak.fatkaraktär.inslag.dill.torkade.körsbär.korinter.tobak.choklad.sandelträ ","Mogen.kryddig.ursprungstypisk.doft.fatkaraktär.inslag.dill.torkade.körsbär.choklad.nötter.tobak",99
"600",1269701,11305,12697,"Torres Gran Coronas","Cabernet Sauvignon Reserva",99,NA,750,132,"1996-09-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Penedès","Spanien","Miguel Torres","Miguel Torres",2010,2010,"14%","FS",0,0,"85% cabernet sauvignon och 15% tempranillo.","8 ","8 ","9 ","85%,cabernet,sauvignon,och,15%,tempranillo","Fruktig.aningen.utvecklad.smak.fatkaraktär.inslag.svarta.vinbär.katrinplommon.choklad.tobak ","Fruktig.aningen.utvecklad.doft.fatkaraktär.inslag.svarta.vinbär.katrinplommon.kaffe.choklad.tobak",99
"606",1275501,14540,12755,"Torres San Valentín","Garnacha",65,NA,750,86.67,"1998-04-06",NA,"Rott vin, Mjukt & Barigt","Flaska","Naturkork","Catalunya","Spanien","Miguel Torres","Miguel Torres",2013,2013,"14%","FS",1,0,"Garnacha.","5 ","4 ","9 ","Garnacha","Ungdomlig.bärig.smak.inslag.körsbär.björnbär.sötlakrits ","Ungdomlig.bärig.doft.inslag.körsbär.björnbär.lakrits",99
