nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning,fyllighet,stravhet,fruktsyra,smak,doft
221101,19388,2211,Domaine du Vieux Lazaret,,211,NA,750,281.33,1999-08-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Rhonedalen, C�tes du Rh�ne, Ch�teauneuf-du-Pape",Frankrike,Domaine du Vieux Lazaret,Pernod Ricard Sweden AB,2011,2011,14.5%,FS,0,0,"Grenache, syrah, mourv�dre, cinsault och counoise.",10,9,10,kryddig.nyanserad.skogshallon.bjornbar.plommon.lagerblad.peppar.tobak,kryddig.nyanserad.fat.skogshallon.lagerblad.plommon.peppar.charkuterier.lakrits
221102,221514,2211,Domaine du Vieux Lazaret,,100,NA,375,266.67,2006-10-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Rhonedalen, C�tes du Rh�ne, Ch�teauneuf-du-Pape",Frankrike,Domaine du Vieux Lazaret,Pernod Ricard Sweden AB,2011,2011,14.5%,FS,0,0,"Grenache, syrah, mourv�dre, cinsault och counoise.",10,9,10,kryddig.nyanserad.skogshallon.bjornbar.plommon.lagerblad.peppar.tobak,kryddig.nyanserad.fat.skogshallon.lagerblad.plommon.peppar.charkuterier.lakrits
221201,434320,2212,Reserve du Vieux Noir,Malbec,69,NA,750,92,2010-03-24,NA,"Rott vin, Stramt & Nyanserat",Flaska,Skruvkapsyl,"Frankrike sydvast, Cahors",Frankrike,Abrard et Fils,janake wine group AB,2012,2012,13%,FS,0,0,Malbec.,8,10,9,kryddig.bjornbar.blabar.viol.lakrits.rosmarin,kryddig.bjornbar.blabar.peppar.vanilj.lakrits
221301,714883,2213,Domaine de la Curni�re,,129,NA,750,172,2013-03-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Rhonedalen, C�tes du Rh�ne, Vacqueyras",Frankrike,Domaine de la Curni�re,Domaine Wines Sweden AB,2012,2012,14.5%,FS,0,0,"Grenache, syrah och mourv�dre.",9,8,9,kryddig.nyanserad.morka bar.rosmarin.hallon.peppar.lagerblad,kryddig.nyanserad.bjornbar.rosmarin.hallon.lagerblad.choklad
221401,395698,2214,Lirac,Les Chenaies,99,NA,750,132,2009-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Rhonedalen, C�tes du Rh�ne, Lirac",Frankrike,Ogier,Spendrups Bryggeri AB,2012,2012,15%,FS,0,0,"60% grenache, 25% syrah och 15% mourv�dre.",9,9,9,rikt.fruktigt.kryddigt vin.hallon.bjornbar.lavendel.vitpeppar.orter,stor.kryddig.hallon.bjornbar.farska orter.lavendel.vitpeppar
222001,797537,2220,Stielle,,179,NA,750,238.67,2013-12-02,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,Toscana,Italien,Rocca di Castagnoli,Gullberg by Stockwine AB,2001,2001,13.5%,FS,0,0,70% sangiovese och 30% cabernet sauvignon.,9,9,9,balanserad.mogen.fatkaraktar.torkad frukt.tobak.plommon.kakao.notter.lader,komplex.mogen.fatkaraktar.torkad frukt.tobak.plommon.lakrits.notter.lader
222201,585568,2222,De Loach,Russian River Valley Pinot Noir,185,NA,750,246.67,2011-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Kalifornien, North Coast, Sonoma County, Russian River Valley",USA,De Loach Vineyards,Arvid Nordquist Vin och Sprithandel,2012,2012,13.5%,FS,0,0,90% pinot noir och 10% syrah.,7,6,9,kryddig.nyanserad.fatkaraktar.jordgubbar.mynta.skogshallon.kaffe.choklad,nyanserad.kryddig.rostad fatkaraktar.jordgubbar.mynta.korsbar.choklad.kaffe
222301,812149,2223,Carabal,Rasgo Tempranillo,69,NA,750,92,2014-03-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Ribera del Guadiana,Spanien,Carabal Vi�edos y Bodega,Vinunic AB,2012,2012,14.5%,FS,0,0,Tempranillo.,8,8,9,mycket fruktig.fat.morka korsbar.lagerblad.plommon.lakrits,fruktig.nagot kryddig.fat.morka korsbar.viol.plommon.lakrits
222602,1553,2226,Chatelle,Coteaux du Languedoc,39,NA,375,104,1987-10-01,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, Coteaux du Languedoc",Frankrike,Altia,Altia Sweden AB,2012,2012,12.5%,FS,0,0,"Carignan, grenache, cinsaut och syrah.",5,5,9,barig.skogsbar.gras.lakrits,barig.skogsbar.gras.lakrits
2227301,38624,22273,Stellenzicht,Golden Triangle Pinotage,99,NA,750,132,2003-05-05,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Western Cape, Coastal Region, Stellenbosch",Sydafrika,Stellenzicht,janake wine group AB,2012,2012,14%,FS,0,0,Pinotage.,9,8,9,mycket fruktig.rostad fatkaraktar.bjornbar.plommon.choklad.eukalyptus,mycket fruktig.rostad fatkaraktar.plommon.bjornbar.choklad.eukalyptus.orter
2228301,38733,22283,Cline,Zinfandel,89,NA,750,118.67,2003-03-03,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Kalifornien,USA,Cline Cellars,Vinunic AB,2013,2013,14%,FS,0,0,"75% zinfandel, 13% carignan, 6% mourv�dre, 3% barbera samt 3% ovriga druvsorter",7,5,8,mycket fruktig.hallon.blabar.vanilj,mycket fruktig.hallon.korsbar.orter.vanilj
2229708,39809,22297,Appasanto,Castillo de Anna,149,NA,3000,49.67,2003-04-07,NA,"Rott vin, Mjukt & Barigt",Box,Vingtapp,Valencia,Spanien,Anecoop,Winepartners Nordic AB,2013,2013,13.5%,FS,0,0,Tempranillo.,5,5,9,barig.ungdomlig.morka bar.lakrits.gras,barig.ungdomlig.morka bar.muskot.gras
2229901,39999,22299,Domaine Lalande R�serve,Merlot,69,NA,750,92,2003-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, VdP d'Oc",Frankrike,Domaine Lalande,Domaine Wines Sweden AB,2012,2012,12.5%,FS,0,0,Merlot.,6,5,9,fruktig.blabar.plommon.orter,fruktig.plommon.korinter.svarta vinbar.orter
2230001,272080,22300,Fontanafredda Ebbio,Langhe Nebbiolo,99,NA,750,132,2007-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Piemonte, Langhe",Italien,Fontanafredda,Enjoy Wine & Spirits AB,2012,2012,13.5%,FS,0,0,Nebbiolo.,8,9,9,kryddig.fatkaraktar.korsbar.kanel.lakrits.lavendel.vanilj,nyanserad.kryddig.fatkaraktar.korsbar.choklad.kanel.lakrits.rosmarin
2231001,12582,22310,Lambrusco Reggiano,Dolce,55,NA,750,73.33,1997-01-01,NA,"Rott vin, Sott",Flaska,Naturkork,"Emilia-Romagna, Reggiano",Italien,Donelli,Enjoy Wine & Spirits AB,NA,NA,7%,FS,0,0,,5,NA,8,nagot spritsigt vin.ungdomlig.barig.sotma.blabar.korsbar.mandel.orter,barig.ungdomlig.blabar.korsbar.mandel
2231401,12733,22314,Velletri,Riserva,89,NA,750,118.67,1997-04-07,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Plastkork/syntetkork,"Latium, Velletri",Italien,Vini di Velletri,Ward Wines AB,2009,2009,13.5%,FS,0,0,"Montepulciano, cesanese och sangiovese.",7,6,9,utvecklad.kryddig.fat.torkade korsbar .russin.choklad.kanel,utvecklad.kryddig.fat.torkade korsbar .russin.lader.kanel
2232001,30148,22320,Bolla Le Poiane,Ripasso,119,NA,750,158.67,2001-12-03,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Valpolicella Classico, Valpolicella Classico Superiore",Italien,Bolla,Arvid Nordquist Vin och Sprithandel,2012,2012,14%,FS,0,0,"Corvina, rondinella, molinara",8,8,9,kryddig.nyanserad.fat.morka korsbar.salvia.viol.lakrits.choklad,kryddig.nyanserad.fat.morka korsbar.salvia.viol.choklad.vanilj
2232801,25924,22328,Chianti Classico Riserva,Beni Duilio,131,NA,750,174.67,2000-10-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Chianti, Chianti Classico",Italien,Castellani,Nigab,2009,2009,13%,FS,0,0,Sangiovese.,8,9,9,kryddig.fatkaraktar.korsbar.orter.kakao.pinjenotter,kryddig.fatkaraktar.korsbar.torkade orter.kanel.choklad.pinjenotter
223301,22525,2233,Ch�teau Pech-Latt,,99,NA,750,132,2000-03-06,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Languedoc-Roussillon, Corbi�res",Frankrike,Ch�teau Pech-Latt,Sigva AB,2013,2013,13%,FS,1,0,"Carignan, grenache, syrah och mourv�dre.",7,7,9,fruktig.fat.skogsbar.viol.kakao.orter,fruktig.fat.skogsbar.viol.choklad.orter
2233501,677903,22335,Candidato,Tempranillo,54,1,750,72,2012-10-01,NA,"Rott vin, Mjukt & Barigt",PET-flaska,Skruvkapsyl,VdlT Castilla,Spanien,Cosecheros y Criadores,Arvid Nordquist Vin och Sprithandel,2013,2013,13%,FS,1,0,Tempranillo.,4,5,9,barig.bjornbar.slanbar.sotlakrits,barig.aningen brand.morka bar.hallon.lakrits
2233508,243476,22335,Candidato,Tempranillo,159,NA,3000,53,2006-12-29,NA,"Rott vin, Fruktigt & Smakrikt",Box,Vingtapp,VdlT Castilla,Spanien,Cosecheros y Criadores,Arvid Nordquist Vin och Sprithandel,2013,2013,13%,FSB,1,0,,4,5,9,barig.bjornbar.slanbar.sotlakrits,barig.aningen brand.morka bar.hallon.lakrits
2233701,621276,22337,Girard,Old Vine Zinfandel,179,NA,750,238.67,2012-04-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Kalifornien, North Coast, Napa Valley",USA,Girard,Terrific Wines AB,2012,2012,15%,FS,0,0,Zinfandel.,10,8,9,generost fruktig.fatkaraktar.bjornbar.jordgubbar.choklad.orter.vanilj,mycket fruktig.fatkaraktar.morka bar.choklad.basilika.jordgubbar.vanilj
223401,824415,2234,Ironstone,Cabernet Franc,97,NA,750,129.33,2014-06-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Plastkork/syntetkork,"Kalifornien, Central Valley, Lodi",USA,Ironstone Vineyards,Stellan Kramer AB,2012,2012,13.5%,FS,0,0,Cabernet franc.,7,6,9,fruktig.fat.korsbar.vanilj.hallon.peppar.choklad,fruktig.fat.korsbar.vanilj.hallon.choklad
2234601,848708,22346,Barra of Mendocino,Cabernet Sauvignon,119,NA,750,158.67,2014-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Kalifornien, North Coast, Mendocino County",USA,Barra of Mendocino,Prime Wine Sweden AB,2012,2012,14%,FSN,1,0,Cabernet sauvignon.,9,9,9,mycket fruktig.fatkaraktar.svarta vinbar.orter.korinter.ceder.kakao,mycket fruktig.fatkaraktar.svarta vinbar.choklad.orter.korinter.ceder
2235001,13541,22350,Tommasi,Amarone della Valpolicella Classico,285,NA,750,380,1997-05-06,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Tommasi Viticoltori,Hermansson & Co AB,2011,2011,15%,FS,0,0,"Corvina veronese, rondinella, corvinone och oseleta.",10,9,9,kryddig.liten sotma.fat.torkade korsbar.romrussin.notter.vanilj.choklad,kryddig.fat.korinter.torkade korsbar.lakrits.notter.choklad
2235002,28811,22350,Tommasi,Amarone della Valpolicella Classico,150,NA,375,400,2001-05-07,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Tommasi Viticoltori,Hermansson & Co AB,2011,2011,15%,FS,0,0,"Corvina veronese, rondinella, corvinone och oseleta.",10,9,9,kryddig.liten sotma.fat.torkade korsbar.romrussin.notter.vanilj.choklad,kryddig.fat.korinter.torkade korsbar.lakrits.notter.choklad
2235006,690904,22350,Tommasi,Amarone della Valpolicella Classico,628,NA,1500,418.67,2012-10-01,NA,"Rott vin, Kryddigt & Mustigt",Magnum,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Tommasi Viticoltori,Hermansson & Co AB,2008,2008,15%,FSB,0,0,,10,9,9,kryddig.liten sotma.fat.torkade korsbar.romrussin.notter.vanilj.choklad,kryddig.fat.korinter.torkade korsbar.lakrits.notter.choklad
223601,272110,2236,Ch�teau Gratien,,71,NA,750,94.67,2007-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Loiredalen, Anjou-Saumur, Saumur-Champigny",Frankrike,Gratien & Meyer,Henkell & Co Sverige AB,2011,2011,12.5%,FS,0,0,Cabernet franc.,7,7,9,ungdomlig.ortig.svarta vinbar.viol.gras.lakrits,ungdomlig.ortig.svarta vinbar.viol.peppar.lagerblad
2238201,831001,22382,Corte Giara,Corvina Veronese,69,NA,750,92,2014-06-02,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Venetien, Veronese",Italien,Corte Giara,The WineAgency Sweden AB,2013,2013,13%,FS,0,0,Corvina.,5,5,10,barig.korsbar.hallon.viol.kryddor,barig.korsbar.blabar.viol.kryddor
2240901,41888,22409,i Castei,Ripasso,119,NA,750,158.67,2003-08-04,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Valpolicella Classico, Valpolicella Classico Superiore",Italien,Castellani,Chris-Wine AB,2012,2012,14%,FS,0,0,"75% corvina, 20% rondinella och 5% molinara.",9,9,9,nyanserad.kryddig.fatkaraktar.torkade korsbar.romrussin.kakao.lakrits.orter,nyanserad.kryddig.fatkaraktar.korsbar.korinter.salvia.choklad
224101,639124,2241,Il Cuore Per Martina,Appassimento,69,NA,750,92,2011-12-30,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Venetien,Italien,Cantine Riondo,Brandpartners AB,2012,2012,14%,FS,0,0,Merlot.,7,6,9,kryddig.fruktig.fat.korsbar.pinjenotter.jordgubbar.korinter.vanilj,kryddig.fat.morka korsbar.korinter.pinjenotter.mynta.vanilj
2246701,40234,22467,Piccini,Chianti,79,NA,750,105.33,2003-06-02,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Toscana, Chianti",Italien,Gestioni Piccini,Enjoy Wine & Spirits AB,2013,2013,13%,FS,0,0,Sangiovese.,6,6,9,barig.korsbar.slanbar.muskot.kryddor,barig.korsbar.hallon.muskot.lakrits
224901,760213,2249,K�nstler,Pinot Noir Tradition,109,NA,750,145.33,2013-09-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Rheingau,Tyskland,K�nstler,Nigab,2012,2012,13.5%,FS,0,0,Pinot noir.,5,4,10,nyanserad.kryddig.fatkaraktar.jordgubbar.sandeltra.lingon.kanel,nyanserad.kryddig.fatkaraktar.jordgubbar.sandeltra.choklad.tranbar.kanel
2256201,42093,22562,Seghesio,Sonoma Zinfandel,189,NA,750,252,2003-10-06,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Kalifornien, North Coast, Sonoma County",USA,Seghesio Family Vineyards,Johan Lidby Vinhandel AB,2012,2012,15%,FS,0,0,Zinfandel.,10,8,9,mycket fruktig.tydlig fatkaraktar.bjornbar.hallon.mintchoklad.vanilj,mycket fruktig.tydlig fatkaraktar.bjornbar.blabar.mintchoklad.vanilj
225701,864272,2257,Hawk Crest,Cabernet Sauvignon,149,NA,750,198.67,2014-12-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Kalifornien,USA,Stag's Leap Wine Cellars,Vinunic AB,2007,2007,13.5%,FSN,0,0,95% cabernet sauvignon och 5% petit verdot.,9,9,9,utvecklad.balanserad.fruktig.fatkaraktar.svarta vinbar.ceder.plommon.kakao.orter,nyanserad.utvecklad.fatkaraktar.svarta vinbar.ceder.korsbarspraliner.plommon.orter
2262001,17778,22620,Bonterra,Zinfandel,139,NA,750,185.33,1999-09-06,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Kalifornien, North Coast, Mendocino County",USA,Bonterra Vineyards,Concha y Toro Sweden AB,2012,2012,14.5%,FS,1,0,Zinfandel.,8,7,9,mycket fruktig.fatkaraktar.blabar.svartpeppar.mynta.bjornbar.vanilj,mycket fruktig.fatkaraktar.blabar.svartpeppar.mynta.bjornbar.vanilj
226201,271665,2262,La Bastide Blanche,,149,NA,750,198.67,2007-10-01,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Provence, Bandol",Frankrike,Earl Bronzo,Vinia Sweden AB,2012,2012,14.5%,FS,1,0,"70% mourv�dre, 25% grenache, 3% cinsault och 2% carignan.",9,11,10,nyanserad.stram.fatkaraktar.morka bar.enetra.kaffe.kakao.rosmarin.lavendel,nyanserad.fatkaraktar.morka bar.enetra.lavendel.choklad.rosmarin
2265201,13336,22652,Navajas,Crianza,78,NA,750,104,1997-07-21,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas Navajas,Vi�a Espa�ola AB,2010,2010,14%,FS,0,0,"Tempranillo, garnacha och mazuelo.",8,8,9,kryddig.utvecklad.fatkaraktar.morka korsbar.korinter.dill.kakao.vanilj,utvecklad.kryddig.fatkaraktar.dill.morka korsbar.korinter.choklad.vanilj
2265304,374867,22653,akesson,Terra dell'Oro Rosso,24,NA,250,96,2009-03-26,NA,"Rott vin, Mjukt & Barigt",Papp,,,Italien,akesson Vin AB,Kiviks Musteri AB,NA,NA,13%,FS,0,0,,5,4,8,barig.muskot.korsbar,barig.muskot.korsbar
2266201,15818,22662,Faustino VII,,77,NA,750,102.67,1998-11-16,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Rioja,Spanien,Faustino Mart�nez,Bibendum,2012,2012,13%,FS,0,0,"Tempranillo 95%, mazuelo 5%",6,6,9,kryddig.fatkaraktar.torkade korsbar.choklad.vanilj.orter,kryddig.fatkaraktar.torkade korsbar.choklad.vanilj.orter
2266202,19707,22662,Faustino VII,,43,NA,375,114.67,1999-08-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Faustino Mart�nez,Bibendum,2012,2012,12.5%,FS,0,0,,6,6,9,kryddig.fatkaraktar.torkade korsbar.choklad.vanilj.orter,kryddig.fatkaraktar.torkade korsbar.choklad.vanilj.orter
2267401,16899,22674,Vi�a Albali,Reserva,69,NA,750,92,1998-12-07,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Valdepe�as,Spanien,Felix Solis,Martin & Servera Aktiebolag,2010,2010,13%,FS,0,0,Tempranillo.,6,6,9,kryddig.utvecklad.fat.torkade korsbar.nypon.lagerblad,kryddig.utvecklad.fat.torkade korsbar.lagerblad.nypon
2267901,17049,22679,Se�or�o de los Llanos,Gran Reserva,69,NA,750,92,1999-01-04,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Valdepe�as,Spanien,Bodegas Vinartis,Prime Wine Sweden AB,2007,2007,13%,FS,0,0,Cencibel (tempranillo).,7,7,9,fruktig.fatkaraktar.hallon.viol.lakrits.vanilj.choklad,fruktig.fatkaraktar.hallon.viol.vanilj.choklad
227001,19842,2270,Le Bistro,Tina,69,NA,750,92,2000-02-07,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,,Frankrike,Les Domaines Auriol,Giertz Vinimport AB,2013,2013,12.5%,FS,1,0,"Merlot, carignan och syrah.",5,4,8,barig.ungdomlig.inslag morka bar.orter.lakrits,barig.ungdomlig.morka bar.orter.lakrits
2280001,14663,22800,Parall�le 45,C�tes du Rh�ne,99,NA,750,132,1998-02-16,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Rhonedalen, C�tes du Rh�ne",Frankrike,Domaine Jaboulet,Nigab,2011,2011,14%,FS,0,0,Grenache och syrah.,8,8,9,kryddig.fruktig.bjornbar.lagerblad.sotlakrits.rosmarin.peppar,kryddig.fruktig.bjornbar.lagerblad.sotlakrits.peppar
228101,590969,2281,Fat Bastard,Shiraz,89,NA,750,118.67,2011-06-30,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, VdP d'Oc",Frankrike,The Fat Bastard Wine Company,The Wine Team,2012,2012,13%,FS,0,0,Shiraz.,9,9,9,mycket fruktig.fatkaraktar.bjornbar.plommon.viol.lakrits.kakao,generost fruktig.fatkaraktar.plommon.bjornbar.lakrits.viol.choklad
2281701,45764,22817,Villa Cafaggio,,152,NA,750,202.67,2004-06-07,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Chianti, Chianti Classico",Italien,Villa Cafaggio,Chris-Wine AB,2011,2011,14%,FS,0,0,Sangiovese.,8,8,10,kryddig.utvecklad.fatkaraktar.torkade korsbar.salvia.plommon.pinjenotter.kakao,kryddig.utvecklad.fatkaraktar.morka korsbar.viol.choklad.pinjenotter.salvia
228201,849901,2282,Boschendal,1685 G&T,89,NA,750,118.67,2014-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Western Cape, Coastal Region",Sydafrika,Boschendal Estate,Spendrups Bryggeri AB,2012,2012,14%,FSN,0,0,Grenache och tempranillo.,9,9,9,nyanserad.fruktig.fat.morka korsbar.svarta vinbar.kryddor.lakrits.orter,nyanserad.fruktig.fat.morka korsbar.svarta vinbar.kryddor.lakrits.orter
2282601,677037,22826,Chill Out,Lakes Shiraz,63,1,750,84,2012-10-01,NA,"Rott vin, Fruktigt & Smakrikt",PET-flaska,Skruvkapsyl,Kalifornien,USA,Altia,Altia Sweden AB,2013,2013,13.5%,FS,0,0,Shiraz.,6,5,8,mycket fruktig.bjornbarssylt.jordgubbar.sotlakrits,fruktig.jordgubbar.bjornbarssylt.sotlakrits
2282608,43904,22826,Chill Out,Dark & Generous Shiraz,189,NA,3000,63,2004-03-01,NA,"Rott vin, Fruktigt & Smakrikt",Box,Tryckknapp front,Kalifornien,USA,Altia,Altia Sweden AB,2013,2013,13.5%,FS,0,0,Shiraz.,6,5,8,mycket fruktig.bjornbarssylt.jordgubbar.sotlakrits,fruktig.jordgubbar.bjornbarssylt.sotlakrits
228901,782831,2289,C�tes du Jura,Pinot Noir,99,NA,750,132,2013-12-02,NA,"Rott vin, Mjukt & Barigt",Flaska,Naturkork,"Jura, C�tes du Jura",Frankrike,Fruiti�re Vinicole d' Arbois,Concealed Wines AB,2012,2012,12.5%,FS,0,0,Pinot noir.,5,5,10,nyanserad.barig.frisk.en liten angenam karvhet.lingon.hallon.kryddor.gras,nyanserad.barig.liten kryddighet.hallon.orter.jordgubbar.gras
229101,714764,2291,Le Hurlevent,Ch�teauneuf-du-Pape,169,NA,750,225.33,2013-03-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Rhonedalen, C�tes du Rh�ne, Ch�teauneuf-du-Pape",Frankrike,Vignobles Mayard,Vinia Sweden AB,2012,2012,14.5%,FS,0,0,"Grenache, syrah och cinsault.",9,9,9,nyanserad.kryddig.plommon.korsbar.lavendel.vitpeppar.lakrits.lagerblad,nyanserad.kryddig.plommon.korsbar.vitpeppar.orter.lakrits.lagerblad
2295101,47354,22951,Mezzacorona Lagrein,,69,NA,750,92,2004-05-03,NA,"Rott vin, Mjukt & Barigt",Flaska,Naturkork,"Trentino-Alto Adige, Trentino",Italien,Mezzacorona,Enjoy Wine & Spirits AB,2012,2012,13%,FS,0,0,Lagrein.,5,5,8,fruktig.morka korsbar.blabar vanilj.lakrits,fruktig.morka korsbar.blabar.salvia.lakrits
2295501,47416,22955,Serrata Belguardo,,109,NA,750,145.33,2004-09-06,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Toscana, Maremma Toscana",Italien,Marchesi Mazzei,The WineAgency Sweden AB,2012,2012,13.5%,FS,0,0,80% sangiovese och 20% alicante nero.,8,8,9,fruktig.fatkaraktar.morka korsbar.tobak.salvia.vanilj.choklad,nyanserad.fruktig.fatkaraktar.morka korsbar.salvia.plommon.choklad
2298101,48017,22981,Monterosso,Rosso,49,NA,750,65.33,2004-06-07,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Molise, Osco",Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,12.5%,FS,0,0,Sangiovese.,7,6,9,mycket fruktig.fat.korsbar.blabar.viol.orter.vanilj,mycket fruktig.fat.korsbar.lakrits.viol.orter.vanilj
2298908,48516,22989,South Atlantic,Shiraz Cabernet Sauvignon,159,NA,3000,53,2004-08-02,NA,"Rott vin, Fruktigt & Smakrikt",Box,Vridtapp,Western Cape,Sydafrika,Origin Wine,Mondo Wine Sweden AB,2014,2014,13.5%,FS,0,0,Shiraz och cabernet sauvignon.,7,7,9,mycket fruktig.fat.skogsbar.lakrits.plommon.vanilj,mycket fruktig.fat.skogsbar.plommon.viol.sotlakrits
2299601,48894,22996,Porcupine Ridge,Syrah,99,NA,750,132,2004-09-06,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Western Cape, Coastal Region",Sydafrika,Boekenhoutskloof,Prime Wine Sweden AB,2013,2013,14.5%,FS,0,0,Syrah.,9,8,9,mycket fruktig.aningen rokig.fatkaraktar.bjornbar.peppar.rosmarin.lakrits,mycket fruktig.fatkaraktar.bjornbar.plommon.viol.rosmarin.lakrits
230001,1624,2300,Villa Antinori,,139,NA,750,185.33,1955-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Toscana,Italien,Marchesi Antinori,Sigva AB,2011,2011,13.5%,FS,0,0,"60% sangiovese, 20% cabernet sauvignon, 15% merlot och 5% syrah.",9,9,9,nyanserad.kryddig.fatkaraktar.korinter.svarta vinbar.ceder.choklad.tobak,nyanserad.kryddig.fatkaraktarmorka korsbar.svarta vinbar.ceder.choklad.tobak
230402,236050,2304,Dom�ni Veneti,Recioto della Valpolicella Classico,150,NA,375,400,2007-10-01,NA,"Rott vin, Sott",Flaska,Naturkork,"Venetien, Valpolicella, Recioto della Valpolicella, Recioto della Valpolicella Classico",Italien,Cantina Valpolicella Negrar,Carovin AB,2012,2012,12.5%,FS,0,0,"70% corvina, 15% corvinone och 15% rondinella.",8,NA,9,mycket sot.fruktig.fat.morka korsbar.russin.choklad.plommon.vanilj,fruktig.fat.morka korsbar.blabar.korinter.mintchoklad
2305001,49753,23050,Dom�ni Veneti,Amarone Classico,199,NA,750,265.33,2004-10-04,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Cantina Valpolicella Negrar,Carovin AB,2011,2011,15%,FS,0,0,"70% corvina veronese, 15% corvinone och 15% rondinella.",10,9,10,kryddigt.fat.torkade korsbar.notter.romrussin.kanel.rosmarin.kakao,kryddig.fat.torkade korsbar.svarta vinbar.russin.choklad.kanel.notter
