nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning,fyllighet,stravhet,fruktsyra,smak,doft
1234301,272067,12343,A,Amarone,219,NA,750,292,2007-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Alpha Zeta,Mondo Wine Sweden AB,2011,2011,15%,FS,0,0,"70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.",10,10,10,kryddigt.rikt vin.fatkaraktar.torkade korsbar.romrussin.mork choklad.sandeltra.vanilj,stor.kryddig.fatkaraktar.korinter.romrussin.sandeltra.vanilj.mork choklad
1234302,272052,12343,A,Amarone,119,NA,375,317.33,2007-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Alpha Zeta,Mondo Wine Sweden AB,2011,2011,15%,FS,0,0,"70% corvina veronese, 25% rondinella och 5% cabernet sauvignon.",10,10,10,kryddigt.rikt vin.fatkaraktar.torkade korsbar.romrussin.mork choklad.sandeltra.vanilj,stor.kryddig.fatkaraktar.korinter.romrussin.sandeltra.vanilj.mork choklad
1235201,836742,12352,Ladero,Tempranillo,59,NA,750,78.67,2014-06-02,NA,Rott vin,Flaska,Skruvkapsyl,La Mancha,Spanien,Bodegas Centro Espa�olas,Divine AB,2013,2013,13.5%,FSN,0,0,Tempranillo.,6,5,8,fruktig.korsbar.bjornbar.farska orter.kryddor.sotlakrits,fruktig.korsbar.bjornbar.farska orter.sotlakrits
1235501,25032,12355,Inycon,Shiraz,75,NA,750,100,2000-10-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Sicilien,Italien,Inycon Estate,Nigab,2012,2012,14%,FS,0,0,Syrah.,7,6,9,generost fruktig.morka bar.lakrits.orter,generost fruktig.bjornbar.lakrits.vanilj
1235701,11070,12357,Brunello di Montalcino,Col d’Orcia,269,NA,750,358.67,1996-08-12,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Brunello di Montalcino",Italien,Col d'Orcia,Carovin AB,2009,2009,14.5%,FS,0,0,Brunello (sangiovese grosso).,9,9,10,nyanserad.utvecklad.fatkaraktar.torkade korsbar.tobak.tranbar.choklad.salvia,nyanserad.utvecklad.fatkaraktar.torkade korsbar.choklad.roda bar.salvia
1235702,272743,12357,Brunello di Montalcino,,150,NA,375,400,2007-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Brunello di Montalcino",Italien,Col d'Orcia,Carovin AB,2009,2009,14%,FS,0,0,Brunello (sangiovese grosso).,9,9,10,nyanserad.utvecklad.fatkaraktar.torkade korsbar.tobak.tranbar.choklad.salvia,nyanserad.utvecklad.fatkaraktar.torkade korsbar.choklad.roda bar.salvia
1236301,11255,12363,Amarone Classico,,195,NA,750,260,1996-09-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Ca' Montini,The WineAgency Sweden AB,2011,2011,15%,FS,0,0,"Corvina veronese, rondinella, molinara.",9,8,9,kryddig.aningen utvecklad.fat.torkade korsbar.mork choklad.pinjenotter.romrussin.orter,kryddig.utvecklad.fat.torkade korsbar.romrussin.choklad.vanilj.pinjenotter
1236302,166504,12363,Amarone Classico,,99,NA,375,264,2005-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Ca' Montini,The WineAgency Sweden AB,2011,2011,15%,FS,0,0,"Corvina veronese, rondinella, molinara.",9,8,9,kryddig.aningen utvecklad.fat.torkade korsbar.mork choklad.pinjenotter.romrussin.orter,kryddig.utvecklad.fat.torkade korsbar.romrussin.choklad.vanilj.pinjenotter
1236601,11261,12366,Capitel de'Roari,Amarone,189,NA,750,252,1996-10-07,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Luigi Righetti,janake wine group AB,2011,2011,15%,FS,0,0,,9,10,10,kryddig.aningen utvecklad.fatkaraktar.korsbar.blabar.salvia.korinter.kakao,kryddig.aningen utvecklad.fatkaraktar.torkade korsbar.russin.salvia.choklad.kanel
1236602,163432,12366,Capitel de'Roari,Amarone,95,NA,375,253.33,2005-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Luigi Righetti,janake wine group AB,2011,2011,15%,FS,0,0,,9,10,10,kryddig.aningen utvecklad.fatkaraktar.korsbar.blabar.salvia.korinter.kakao,kryddig.aningen utvecklad.fatkaraktar.torkade korsbar.russin.salvia.choklad.kanel
